"configuration","problem","model","data_file","status","time","unifiedVariables","extractedViews","intVariables","objective","propagators","propagations","initTime","run","paths","userDecisions","method","flatTime","failures","peakDepth","flatIntVars","restarts","blockType","nSolutions","oracleDecisions","solveTime","flatIntConstraints"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.44782766327261925","0","1","32","10","25","3913","0.005447","results_filter_basic","0","1068","minimize","0.168133","254","220","48","1","complete","4","326","0.034843","26"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.7278988198377192","0","4","29","18","33","48651","0.005623","results_filter_basic","0","0","minimize","0.164057","4202","110","49","0","complete","3","4788","0.326812","37"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.47025039745494723","0","8","35","21","49","894","0.005578","results_filter_basic","0","140","minimize","0.171284","21","54","69","0","complete","2","0","0.015297","57"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.2459245380014","0","8","49","18","67","78298825","0.007453","results_filter_basic","0","10454887","minimize","0.176536","8505003","74","105","0","complete","3","0","1199.812243","75"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.46461602207273245","0","8","35","21","49","894","0.005604","results_filter_basic","0","140","minimize","0.170324","21","54","69","0","complete","2","0","0.01515","57"
"Huub_user","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4330819430761039","0","8","69","17","49","644","0.006415","results_filter_basic","0","180","minimize","0.165667","19","67","77","0","complete","2","0","0.017507","57"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5183446877636015","0","1","51","18","35","10039","0.005846","results_filter_basic","0","1077","minimize","0.16435","323","170","52","3","complete","15","1733","0.118602","36"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.47695069294422865","0","1","32","15","25","14210","0.005301","results_filter_basic","0","0","minimize","0.160928","1874","122","33","0","complete","3","2278","0.091092","26"
"Huub_user","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2224018773995","0","8","97","10","67","36556178","0.007419","results_filter_basic","0","13240235","minimize","0.164031","2978060","86","105","0","complete","3","0","1199.824946","75"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2693098462187","0","8","49","34","67","48545049","0.007125","results_filter_basic","0","3839222","minimize","0.179171","3765241","49","57","0","complete","1","0","1199.816867","75"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4650224708020687","0","1","24","15","25","8333","0.005316","results_filter_basic","0","939","minimize","0.174904","968","28","33","42","complete","3","328","0.047746","26"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.4690793948248029","0","4","45","11","33","6666","0.005734","results_filter_basic","0","1515","minimize","0.163486","1069","57","61","21","complete","3","368","0.070201","37"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","55.737439916003495","0","1","34","35","35","949357","0.005688","results_filter_basic","0","227117","minimize","0.173479","226372","35","35","0","complete","7","0","55.278991","36"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4600022272206843","0","8","35","21","49","2344","0.00563","results_filter_basic","0","0","minimize","0.170122","35","113","69","0","complete","1","263","0.015111","57"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","704.457309955731","0","8","49","18","67","74703978","0.007442","results_filter_basic","0","5274385","minimize","0.169539","5110782","184","105","137854","complete","4","3449478","704.03197","75"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.41596512496471405","0","4","45","11","33","861","0.005707","results_filter_basic","0","0","minimize","0.162872","4","125","61","0","complete","1","145","0.006898","37"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.4116863929666579","0","8","35","18","49","1188","0.00603","results_filter_basic","0","0","minimize","0.165191","17","108","77","0","complete","1","137","0.012081","57"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5241862460970879","0","1","32","15","25","13429","0.005211","results_filter_basic","0","0","minimize","0.169399","1827","131","33","0","complete","2","2238","0.08248","26"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5012831259518862","0","1","51","18","35","4959","0.006148","results_filter_basic","0","0","minimize","0.164586","1198","119","52","0","complete","1","1355","0.095687","36"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.5636820178478956","0","8","35","28","49","170720","0.005827","results_filter_basic","0","0","minimize","0.162945","13060","110","51","0","complete","1","14319","1.176679","57"
