"configuration","problem","model","data_file","status","time","restarts","extractedViews","propagators","paths","flatIntConstraints","oracleDecisions","flatIntVars","nSolutions","solveTime","peakDepth","blockType","initTime","objective","unifiedVariables","run","failures","method","userDecisions","propagations","flatTime","intVariables"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.39847025368362665","0","3","11","0","14","118","26","1","0.003562","112","complete","0.004385","4","0","results_filter_seperate+merge","1","minimize","0","374","0.167444","18"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4318136633373797","0","1","35","0","36","103","52","1","0.007483","98","complete","0.005786","19","0","results_filter_seperate+merge","6","minimize","0","603","0.163241","34"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4355095108039677","1","1","35","0","36","469","52","2","0.035399","148","complete","0.005867","19","0","results_filter_seperate+merge","184","minimize","84","3205","0.163341","34"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4327361141331494","1","1","25","0","26","130","48","1","0.006989","118","complete","0.005121","10","0","results_filter_seperate+merge","24","minimize","68","714","0.179976","32"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5248016659170389","0","4","33","0","37","2173","49","3","0.137723","112","complete","0.005742","18","0","results_filter_seperate+merge","1675","minimize","0","23807","0.162269","29"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4757365803234279","0","8","49","0","57","0","69","2","0.015793","54","complete","0.006143","21","0","results_filter_seperate+merge","30","minimize","164","1086","0.187289","35"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","582.7527284719981","0","8","67","0","75","0","105","6","582.311995","73","complete","0.007617","18","0","results_filter_seperate+merge","3812171","minimize","4588300","47119489","0.175353","49"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5204312801361084","0","8","49","0","57","0","69","2","0.015679","54","complete","0.006094","21","0","results_filter_seperate+merge","30","minimize","164","1086","0.230026","35"
"Huub_user","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4313540980219841","0","8","49","0","57","0","77","2","0.015791","67","complete","0.006097","17","0","results_filter_seperate+merge","15","minimize","176","636","0.171931","69"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.4840741609223187","3","1","35","0","36","556","52","6","0.06385","144","complete","0.005973","18","0","results_filter_seperate+merge","258","minimize","1197","6433","0.179774","51"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.43149667885154486","0","1","25","0","26","498","33","1","0.020443","121","complete","0.005314","15","0","results_filter_seperate+merge","260","minimize","0","3699","0.183289","32"
"Huub_user","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.223280617036","0","8","67","0","75","0","105","4","1199.823882","79","complete","0.007547","10","0","results_filter_seperate+merge","4298719","minimize","13567716","51259909","0.164638","97"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2286336906254","0","8","67","0","75","0","57","1","1199.824238","49","complete","0.007189","34","0","results_filter_seperate+merge","4478028","minimize","4572856","59085171","0.164366","49"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4452953729778528","0","1","25","0","26","0","33","3","0.032729","27","complete","0.005365","15","0","results_filter_seperate+merge","609","minimize","707","4879","0.166534","24"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.4893308710306883","1","4","33","0","37","224","61","3","0.058679","47","complete","0.005706","11","0","results_filter_seperate+merge","673","minimize","1675","8167","0.166942","45"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","60.6771423490718","0","1","35","0","36","0","35","7","60.256875","35","complete","0.005777","35","0","results_filter_seperate+merge","236859","minimize","237796","1251483","0.175417","34"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.47925029788166285","0","8","49","0","57","399","69","1","0.017832","121","complete","0.006133","21","0","results_filter_seperate+merge","24","minimize","0","2776","0.187671","35"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","42.2316025570035","10203","8","67","0","75","227518","105","6","41.2733","192","complete","0.007555","18","0","results_filter_seperate+merge","319085","minimize","285360","6020784","0.182664","49"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.42652765894308686","0","4","33","0","37","145","61","1","0.006459","125","complete","0.005714","11","0","results_filter_seperate+merge","5","minimize","0","860","0.166782","45"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.40411670273169875","0","8","49","0","57","143","77","1","0.010922","112","complete","0.00609","18","0","results_filter_seperate+merge","13","minimize","0","1190","0.16467","35"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5233814320527017","0","1","25","0","26","524","33","1","0.020317","128","complete","0.005371","15","0","results_filter_seperate+merge","254","minimize","0","3272","0.229153","32"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.4208209249190986","0","1","35","0","36","226","52","1","0.013506","122","complete","0.005893","18","0","results_filter_seperate+merge","90","minimize","0","881","0.164655","51"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.9243171652778983","0","8","49","0","57","5891","51","1","0.509819","104","complete","0.005944","28","0","results_filter_seperate+merge","5260","minimize","0","81794","0.1682","35"
