"configuration","problem","model","data_file","status","time","flatTime","blockType","propagators","userDecisions","objective","paths","peakDepth","initTime","intVariables","restarts","nSolutions","oracleDecisions","flatIntVars","extractedViews","propagations","flatIntConstraints","failures","method","solveTime","run","unifiedVariables"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4532497259788215","0.163119","complete","25","722","15","0","32","0.006077","32","0","3","0","33","1","4897","26","609","minimize","0.031719","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","4.8974590743891895","0.227068","complete","67","45875","11","0","186","0.007995","97","467","4","19181","105","8","380942","75","22859","minimize","4.099292","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.9334778171032667","0.206435","complete","49","4456","28","0","35","0.005832","35","126","1","2606","43","8","81917","57","4800","minimize","0.506854","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","2.2248098868876696","0.503468","complete","11","32","4","0","20","0.009183","18","0","1","0","26","3","100","14","6","minimize","0.005375","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","39.57006520265713","0.171509","complete","67","280738","14","0","236","0.007447","97","6827","3","236922","105","8","4708487","75","291554","minimize","39.157065","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","3.5790953510440886","0.198229","complete","35","0","35","0","97","0.006519","34","0","5","33860","35","1","279840","36","32546","minimize","2.822314","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","4.31561202602461","0.172963","complete","67","0","10","0","202","0.007449","97","0","2","30596","105","8","447163","75","28862","minimize","3.900126","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.885011610109359","0.240989","complete","49","375","19","0","57","0.006841","35","0","2","0","77","8","1641","57","48","minimize","0.024711","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.848831974901259","0.223907","complete","25","1189","18","0","24","0.006825","24","0","1","0","25","1","8014","26","1151","minimize","0.053003","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","5.3289975970983505","0.176232","complete","67","57695","16","0","176","0.007204","65","1430","3","21928","105","8","747411","75","37009","minimize","4.871353","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","2.224199016112834","0.499188","complete","11","0","4","0","112","0.009178","18","0","1","118","26","3","374","14","1","minimize","0.005593","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4714824710972607","0.177198","complete","35","0","19","0","98","0.005846","34","0","1","103","52","1","603","36","6","minimize","0.00755","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4970911368727684","0.175611","complete","35","84","19","0","148","0.005959","34","1","2","469","52","1","3205","36","184","minimize","0.037061","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","2.2247385131195188","0.504654","complete","25","68","10","0","118","0.009915","32","1","1","130","48","1","714","26","24","minimize","0.008158","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.6481168172322214","0.174744","complete","33","0","18","0","112","0.00591","29","0","5","3583","49","4","36010","37","2839","minimize","0.228973","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6363815772347152","0.174929","complete","49","164","21","0","54","0.006912","35","0","2","0","69","8","1086","57","30","minimize","0.015825","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","603.9001867650077","0.504704","complete","67","4568071","18","0","73","0.011364","49","0","6","0","105","8","47134968","75","3805459","minimize","601.670368","results_filter_merge","0"
