"configuration","problem","model","data_file","status","time","intVariables","propagations","optTime","nogoods","flatBoolConstraints","objective","restarts","nodes","baseMem","initTime","peakMem","failures","method","paths","flatIntConstraints","evaluatedReifiedConstraints","unifiedVariables","randomSeed","flatBoolVars","peakDepth","boolVariables","solveTime","trailMem","evaluatedHalfReifiedConstraints","flatTime","propagators","run","intVars","extractedViews","oracleDecisions","blockType","variables","flatIntVars","userDecisions","objectiveBound","solutions","backjumps","nSolutions"
"chuffed","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.8718071859329939","","5588057","0.005","9786","180","34","1","14882","0.0","0.011","0.0","9786","minimize","0","397","360","","1171884314","360","29","7468","0.436","0.02","","0.195441","762","results_filter","36","","","","7506","36","","","","5067","1"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.39356763660907745","18","670","","","20","4","0","","","0.005468","","9","minimize","0","92","","0","","80","110","","0.003421","","80","0.165741","89","results_filter","","3","90","complete","","26","34","","","","1"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","403.13045971654356","65","981701104","","","608","32","95263","","","0.023608","","2599377","minimize","0","1529","","0","","1456","1588","","402.597781","","1456","0.248065","1521","results_filter","","8","1840834","complete","","73","3081045","","","","1"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.43847324326634407","24","73048","","","127","18","31","","","0.008081","","550","minimize","0","278","","0","","254","278","","0.024972","","254","0.180669","277","results_filter","","1","613","complete","","25","381","","","","1"
"chuffed","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5477678347378969","","22556","0.009","3","336","21","2","117","0.0","0.023","0.0","3","minimize","0","1349","1288","","-746673385","1288","54","11368","0.009","0.04","","0.240155","2646","results_filter","76","","","","11446","76","","","","9","2"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","372.2130807489157","49","993213629","","","608","32","100119","","","0.023173","","2537013","minimize","0","1529","","0","","1456","1566","","371.64814","","1456","0.250782","1521","results_filter","","8","1811017","complete","","73","3117731","","","","1"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2890323679894","49","1516425490","","","608","34","131099","","","0.020811","","4922766","minimize","0","1289","","0","","1216","1265","","1199.723937","","1216","0.254","1281","results_filter","","8","3494561","complete","","57","4460167","","","","1"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4465172812342644","24","29027","","","127","11","0","","","0.010845","","169","minimize","0","532","","0","","508","632","","0.017001","","508","0.183389","531","results_filter","","1","1773","complete","","48","678","","","","3"
"gecode","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","0.6317779570817947","","3189","","","","16","0","171","","0.003064","","67","minimize","0","75","","","","","116","","0.007295","","","0.176046","79","results_filter","","","","","105","105","","","1","","1"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","66.46026230789721","49","72123520","","","608","32","0","","","0.023532","","510339","minimize","0","1529","","0","","1456","1566","","65.910939","","1456","0.262496","1521","results_filter","","8","1514","complete","","73","516849","","","","1"
"cp-sat","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.352950502187","","852","","","","16","","","","","","67","minimize","0","75","","","","","","158","0.007806","","","0.170277","","results_filter","","","","","","105","","7","","","1"
"chuffed","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4472787231206894","","114538","0.009","434","127","15","3","720","0.0","0.008","0.0","434","minimize","0","333","310","","508545227","310","27","5225","0.017","0.01","","0.184162","645","results_filter","33","","","","5260","32","","","","213","3"
"gecode","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.39287918619811535","","98","","","","4","0","22","","0.000445","","5","minimize","0","14","","","","","20","","0.003571","","","0.165715","18","results_filter","","","","","26","26","","","1","","1"
"gecode","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","9.972917472943664","","27202243","","","","15","0","4646003","","0.000567","","2322990","minimize","0","26","","","","","31","","9.56972","","","0.171124","29","results_filter","","","","","63","33","","","3","","3"
"cp-sat","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.551931399852","","1193","","","","18","","","","","","101","minimize","0","75","","","","","","197","0.009527","","","0.179347","","results_filter","","","","","","105","","7","","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.43420891277492046","24","58977","","","127","18","0","","","0.008071","","492","minimize","0","278","","0","","254","373","","0.022025","","254","0.179633","277","results_filter","","1","1329","complete","","25","0","","","","1"
"gecode","","../filters/filter.mzn","../filters/ewf_1_2.dzn","SATISFIED","1200.2128683887422","","3537760530","","","","28","0","654677476","","0.002093","","327338721","minimize","0","57","","","","","52","","1199.84","","","0.159585","60","results_filter","","","","","103","51","","","1","","1"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.8164049629122019","51","1243764","","","241","18","0","","","0.014649","","7075","minimize","0","788","","0","","754","182","","0.350801","","754","0.208355","787","results_filter","","1","535","complete","","52","22221","","","","4"
"gecode","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","0.43202209658920765","","4128","","","","11","0","399","","0.002345","","161","minimize","0","75","","","","","104","","0.012019","","","0.168142","79","results_filter","","","","","105","105","","","2","","2"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.9247125908732414","45","636328","","","180","15","0","","","0.013468","","1603","minimize","0","755","","0","","720","1012","","0.268828","","720","0.208962","751","results_filter","","4","86142","complete","","61","0","","","","86"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7409380208700895","45","173446","","","180","15","0","","","0.013451","","796","minimize","0","755","","0","","720","888","","0.044254","","720","0.230935","751","results_filter","","4","1668","complete","","61","3977","","","","2"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.5246341843158","97","768807816","","","608","14","0","","","0.034508","","7862341","minimize","0","2505","","0","","2432","3052","","1199.690656","","2432","0.271242","2497","results_filter","","8","4060","complete","","105","8277454","","","","3"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.8354275412857533","35","513139","","","336","28","0","","","0.012863","","3666","minimize","0","727","","0","","672","707","","0.141949","","672","0.230219","719","results_filter","","8","672","complete","","43","3797","","","","1"
"gecode","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","521.9966176021844","","1133161167","","","","16","0","184164774","","0.000635","","92082365","minimize","0","37","","","","","49","","521.614","","","0.163798","40","results_filter","","","","","73","49","","","4","","4"
"chuffed","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5027724001556635","","159073","0.02","383","180","15","2","3546","0.0","0.015","0.0","383","minimize","0","757","720","","772705354","720","52","7997","0.021","0.02","","0.206689","1482","results_filter","63","","","","8062","64","","","","3062","2"
"gecode","","../filters/filter.mzn","../filters/ewf_1_1.dzn","SATISFIED","1200.242706367746","","3388994603","","","","28","0","606319230","","0.00071","","303159598","minimize","0","57","","","","","53","","1199.83","","","0.166108","59","results_filter","","","","","111","43","","","1","","1"
"chuffed","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5289320945739746","","715667","0.005","2848","336","28","1","5074","0.0","0.018","0.0","2848","minimize","0","789","728","","938631904","728","40","10718","0.067","0.02","","0.212182","1526","results_filter","58","","","","10778","58","","","","2186","1"
"chuffed","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.44909854978322983","","448275","0.004","2126","127","18","1","2429","0.0","0.008","0.0","2126","minimize","0","277","254","","-435750904","254","24","5129","0.038","0.01","","0.179041","533","results_filter","25","","","","5156","24","","","","279","1"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.550524802878499","","832619","0.065","4001","241","19","1","7644","0.0","0.015","0.0","4001","minimize","0","787","754","","1468108445","754","43","7744","0.066","0.02","","0.223326","1543","results_filter","52","","","","7798","51","","","","3600","1"
"gecode","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","2.2992143500596285","","4853726","","","","18","0","545090","","0.002675","","272527","minimize","0","37","","","","","39","","1.73408","","","0.169796","40","results_filter","","","","","73","49","","","4","","4"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","66.77547219581902","65","116367529","","","608","16","0","","","0.035078","","1026254","minimize","0","2505","","0","","2432","2935","","66.121329","","2432","0.289622","2497","results_filter","","8","3277","complete","","105","1080604","","","","2"
"gecode","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.37847298942506313","","404","","","","18","0","24","","0.001876","","3","minimize","0","26","","","","","23","","0.005305","","","0.157244","28","results_filter","","","","","71","25","","","1","","1"
"gecode","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","0.5197421312332153","","1595","","","","34","0","49","","0.006385","","6","minimize","0","75","","","","","48","","0.007978","","","0.168101","77","results_filter","","","","","153","57","","","1","","1"
"chuffed","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.3679957352579","","6225011734","1.514","6322891","606","10","2","43864003","0.0","0.042","0.0","6322891","minimize","0","2503","2424","","-606516073","2424","87","15645","1199.742","0.05","","0.254797","4936","results_filter","111","","","","15758","112","","","","37540929","2"
"Huub_free","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4972862880676985","69","16359","","","336","17","0","","","0.021206","","21","minimize","0","1399","","0","","1344","1780","","0.010123","","1344","0.218954","1391","results_filter","","8","3432","complete","","77","182","","","","2"
