"configuration","problem","model","data_file","status","time","variables","intVars","flatIntVars","failures","nSolutions","peakMem","solveTime","blockType","optTime","nodes","unifiedVariables","boolVariables","nogoods","restarts","solutions","run","trailMem","paths","propagations","randomSeed","backjumps","extractedViews","intVariables","userDecisions","flatTime","flatBoolVars","evaluatedHalfReifiedConstraints","oracleDecisions","method","flatBoolConstraints","baseMem","propagators","peakDepth","initTime","flatIntConstraints","evaluatedReifiedConstraints","objective"
"gecode","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.4284558929502964","26","","26","5","1","","0.004813","","","22","","","","0","1","results","","0","98","","","","","","0.267907","","","","minimize","","","18","20","0.011767","14","","4"
"gecode","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","10.215237345546484","63","","33","2322990","3","","9.67358","","","4646003","","","","0","3","results","","0","27202243","","","","","","0.166319","","","","minimize","","","29","31","0.001671","26","","15"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.9829061739146709","","","25","492","1","","0.022081","complete","","","0","","","0","","results","","0","58977","","","1","24","0","0.21307","254","254","1329","minimize","127","","277","373","0.00893","278","","18"
"gecode","","../filters/filter.mzn","../filters/ewf_1_2.dzn","SATISFIED","1200.7718928046525","103","","51","331094691","1","","1199.82","","","662189411","","","","0","1","results","","0","3580844972","","","","","","0.180861","","","","minimize","","","60","52","0.002905","57","","28"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.9092603847384453","","","52","7075","4","","0.369907","complete","","","0","","","0","","results","","0","1243764","","","1","51","22221","0.214442","754","754","535","minimize","241","","787","182","0.014653","788","","18"
"gecode","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","0.6321053225547075","105","","105","161","2","","0.011643","","","399","","","","0","2","results","","0","4128","","","","","","0.185319","","","","minimize","","","79","104","0.002641","75","","11"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7562453392893076","","","61","1603","86","","0.273378","complete","","","0","","","0","","results","","0","636328","","","4","45","0","0.207049","720","720","86142","minimize","180","","751","1012","0.013273","755","","15"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5048213917762041","","","61","796","2","","0.046428","complete","","","0","","","0","","results","","0","173446","","","4","45","3977","0.202349","720","720","1667","minimize","180","","751","888","0.013492","755","","15"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3802310228348","","","105","8769320","3","","1199.679326","complete","","","0","","","0","","results","","0","852406307","","","8","97","9217578","0.283756","2432","2432","4061","minimize","608","","2497","3053","0.034546","2505","","14"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6231706514954567","","","43","3666","1","","0.140449","complete","","","0","","","0","","results","","0","513139","","","8","35","3797","0.219558","672","672","672","minimize","336","","719","707","0.013366","727","","28"
