"configuration","problem","model","data_file","status","time","variables","failures","evaluatedHalfReifiedConstraints","restarts","intVariables","paths","baseMem","objectiveBound","nodes","flatBoolConstraints","blockType","method","eliminatedImplications","trailMem","extractedViews","nSolutions","run","objective","optTime","propagators","peakMem","error","solveTime","propagations","intVars","initTime","unifiedVariables","evaluatedReifiedConstraints","flatIntVars","flatIntConstraints","flatBoolVars","backjumps","nogoods","flatTime","randomSeed","boolVariables","userDecisions","peakDepth","solutions","oracleDecisions"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","3.4799455674365163","46310","1444","","5","","0","0.0","","27289","5350","","minimize","250","0.12","","5","results_prod_new","6","0.908","38778","0.0","","1.051","6169765","1549","0.318","","21290","1549","21647","21320","21563","1444","1.61652","169350451","44759","","888","",""
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","200.39145226869732","","126248","","727","13647","0","","","","21750","complete","minimize","2250","","15750","6","results_prod_new","S(13)","","30098","","","196.435018","55224389","","0.630858","0","45150","13650","35349","36900","","","2.3588","","","0","30956","","2989849"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","129.64471438154578","","52256","","1580","30197","0","","","","49000","complete","minimize","5000","","35000","21","results_prod_new","S(30)","","68144","","","121.274147","84672114","","1.207756","0","102200","30200","79145","83200","","","5.18937","","","0","52628","","3057572"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.043876283802092","","1700","","0","1547","0","","","","2200","complete","minimize","250","","1750","1","results_prod_new","S(10)","","2917","","","0.304393","264373","","0.064669","0","4410","1550","3718","3710","","","0.353502","","","0","3721","","19096"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","0.9561779778450727","","1984","","0","1547","0","","","","2200","complete","minimize","250","","1750","1","results_prod_new","S(10)","","2917","","","0.356116","327484","","0.06488","0","4410","1550","3718","3710","","","0.32275","","","0","3741","","29093"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","89.88863192498684","","6565","499500","0","13647","0","","","","104250","complete","minimize","2250","","15750","3","results_prod_new","S(8)","","527913","","","23.100008","119885574","","8.357509","0","43050","13650","533914","535050","","","45.3728","","","0","981117","","3411648"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","ERROR","104.33014311362058","","","499500","","","0","","","","94500","","minimize","2250","","","0","results_prod_new","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","15750","13650","524254","517500","","","42.8988","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","ERROR","109.44149538781494","","","499500","","","0","","","","94500","","minimize","2250","","","0","results_prod_new","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","15750","13650","524283","517500","","","42.8208","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","5.467199231497943","","2884","18000","","","0","","10","","5200","","minimize","250","","","1","results_prod_new","10","","","","","3.05465","3102782","","","","3080","1550","21518","21140","","","1.56891","","20649","","","",""
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.0048536825925","","129543","","5","30197","0","","","","47500","complete","minimize","5000","","35000","0","results_prod_new","","","64838","","","1193.564517","202612720","","1.62626","0","98000","30200","77339","80500","","","4.97931","","","0","39355","","2470738"
