"configuration","problem","model","data_file","status","time","paths","restarts","unifiedVariables","evaluatedHalfReifiedConstraints","propagators","peakDepth","run","flatBoolConstraints","flatBoolVars","flatIntConstraints","initTime","objective","flatTime","intVariables","flatIntVars","method","extractedViews","propagations","solveTime","nSolutions","failures","blockType","oracleDecisions","userDecisions"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.46413851249963045","0","0","0","310","333","357","results_filter","127","310","334","0.009798","15","0.198919","24","33","minimize","1","56842","0.022096","3","623","complete","990","723"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.4380949642509222","0","0","0","","25","32","results_filter","","","26","0.005588","15","0.172701","32","33","minimize","1","6034","0.020086","3","621","complete","0","739"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.544617828913033","0","0","0","","33","42","results_filter","","","37","0.005898","16","0.186717","45","49","minimize","4","28585","0.065661","3","1333","complete","0","5504"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.9709061002358794","0","0","0","","33","29","results_filter","","","37","0.005456","34","0.208929","29","33","minimize","4","100748","0.367556","1","10625","complete","0","10921"
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.6719591245055199","0","0","0","","25","39","results_filter","","","26","0.007539","11","0.173724","24","48","minimize","1","6068","0.029346","3","363","complete","0","2199"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.7524176985025406","0","0","0","","49","35","results_filter","","","57","0.006089","28","0.171895","35","43","minimize","8","29004","0.130946","1","3364","complete","0","3491"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4483717093244195","0","0","0","","11","20","results_filter","","","14","0.004717","6","0.168374","18","26","minimize","3","134","0.003791","1","14","complete","0","44"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","841.3007366554812","0","0","0","","67","49","results_filter","","","75","0.008717","34","0.179786","49","57","minimize","8","31563291","840.425304","1","3130523","complete","0","3228345"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5778600499033928","0","7","0","","33","136","results_filter","","","37","0.006709","16","0.239825","45","49","minimize","4","15083","0.04142","4","539","complete","517","1774"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.7039772868156433","0","0","0","","49","57","results_filter","","","57","0.0059","18","0.197586","35","77","minimize","8","3055","0.02437","3","113","complete","0","903"
