"configuration","problem","model","data_file","status","time","variables","evaluatedHalfReifiedConstraints","objectiveBound","flatTime","backjumps","method","trailMem","userDecisions","nSolutions","intVars","flatBoolVars","propagators","paths","evaluatedReifiedConstraints","initTime","restarts","objective","extractedViews","nogoods","solveTime","randomSeed","intVariables","optTime","flatBoolConstraints","flatIntVars","failures","blockType","propagations","unifiedVariables","flatIntConstraints","peakDepth","solutions","nodes","run","baseMem","peakMem","boolVariables","oracleDecisions"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.5709405448288","","","","0.132139","","minimize","","0","46","","837","1029","0","1302","0.026899","7737","3312","300","","1199.876527","","305","","465","605","523459","complete","59382295","0","864","2555","","","results_container","","","","1812000"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.551127430983","","","","0.251041","","minimize","","0","45","","1728","2118","0","2688","0.043758","1309","7315","600","","1199.725184","","605","","960","1205","122001","complete","22413459","0","1758","6358","","","results_container","","","","716344"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2329791830853","","","","7.03916","","minimize","","","0","","120552","","0","120744","","","","","","","","","","20860","1799","","","","","121559","","","","results_container","","","",""
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.537554605864","","","","0.132608","","minimize","","0","39","","837","1029","0","1302","0.029769","4442","3328","300","","1199.848006","","305","","465","605","284291","complete","40310545","0","864","1211","","","results_container","","","","1168975"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2743808664382","","","","0.167398","","minimize","","0","49","","1728","2118","0","2688","0.048198","776","13377","600","","1199.821837","","605","","960","1205","49227","complete","12811255","0","1758","5251","","","results_container","","","","505585"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5099564883858","","","","0.208369","","minimize","","0","25","","1728","2118","0","2688","0.042223","0","9996","600","","1199.822685","","605","","960","1205","123884","complete","8066770","0","1758","1135","","","results_container","","","","174729"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4622936788946","","","","0.206136","","minimize","","0","25","","1728","2118","0","2688","0.041842","0","11088","600","","1199.771677","","605","","960","1205","128385","complete","9969295","0","1758","1176","","","results_container","","","","177780"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.964870840311","","42840","","2.27634","","minimize","","0","36","","43866","44099","0","1596","0.488597","0","5760","360","","1197.271765","","365","","7710","725","1709468","complete","1713336876","0","43889","15289","","","results_container","","","","3516861"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.269948859699","","119400","","6.89239","","minimize","","","0","","119400","","0","","","","","","","","","","","19900","1205","","","","","120197","","","","results_container","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.192246175371","","119400","180","6.89914","","minimize","","","2","","120552","","0","1344","","","9975","","","85.0851","","","","20860","1205","843","","7253091","","120965","","","","results_container","","","119543",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5392740052193","","","","0.196389","","minimize","","0","40","","1107","1359","0","1722","0.033536","0","7200","390","","1199.77961","","395","","615","785","362583","complete","14915166","0","1134","802","","","results_container","","","","424406"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.1850745268166","","119400","","6.91725","","minimize","","","0","","119400","","0","","","","","","","","","","","19900","1205","","","","","120197","","","","results_container","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.3662195708603","43565","42840","","2.44965","","minimize","","","0","","42840","50459","0","","0.391168","0","","","","1197.55","","","","7140","725","700524","","1645927352","","43319","209","0","1401195","results_container","","","",""
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1970111466944","","","","0.127534","","minimize","","0","37","","1107","1359","0","1722","0.027895","2932","7560","390","","1199.890773","","395","","615","785","200859","complete","25797205","0","1134","1728","","","results_container","","","","816824"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6351214284077","","","","0.250853","","minimize","","0","52","","1728","2118","0","2688","0.044097","0","7410","600","","1199.809643","","605","","960","1205","162232","complete","12169046","0","1758","3384","","","results_container","","","","281686"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6169090876356","","","","0.234394","","minimize","","0","45","","2160","2646","0","3360","0.063533","273","19656","750","","1199.777991","","755","","1200","1505","19099","complete","6031549","0","2196","9881","","","results_container","","","","412608"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.4974208241329","","186750","","11.1583","","minimize","","","0","","186750","","0","","","","","","","","","","","31125","1505","","","","","187745","","","","results_container","","","",""
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.546769295819","","","","0.225221","","minimize","","0","39","","1116","1370","0","1736","0.038703","3145","4860","390","","1199.746002","","395","","620","785","220981","complete","34681604","0","1140","2172","","","results_container","","","","968884"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.605384197086","","","","0.253604","","minimize","","0","50","","1728","2118","0","2688","0.043754","609","7429","600","","1199.774694","","605","","960","1205","38143","complete","9941017","0","1758","5569","","","results_container","","","","446679"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5615045623854","","","","0.18404","","minimize","","0","33","","1026","1260","0","1596","0.030274","0","4800","360","","1199.804243","","365","","570","725","426217","complete","26252921","0","1050","982","","","results_container","","","","484199"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.568540552631","","","","0.146498","","minimize","","0","35","","1026","1260","0","1596","0.032382","4599","5625","360","","1199.84017","","365","","570","725","282670","complete","44828962","0","1050","1681","","","results_container","","","","1097838"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5536734694615","","","","0.233418","","minimize","","0","50","","2160","2646","0","3360","0.063473","240","19950","750","","1199.716447","","755","","1200","1505","15815","complete","7747514","0","2196","10160","","","results_container","","","","385935"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1911166235805","","","","0.11507","","minimize","","0","30","","837","1029","0","1302","0.022487","0","3360","300","","1199.881981","","305","","465","605","966633","complete","56569111","0","864","677","","","results_container","","","","1042028"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5478344606236","","","","0.252672","","minimize","","0","50","","1728","2118","0","2688","0.04388","0","7410","600","","1199.719334","","605","","960","1205","299553","complete","21621712","0","1758","3429","","","results_container","","","","418064"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.3713928209618","","","","7.13778","","minimize","","","0","","120552","","0","120744","","","","","","","","","","20860","1799","","","","","121559","","","","results_container","","","",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.7078575668857","","119400","","6.61814","","minimize","","0","65","","121128","121517","0","2688","1.463887","0","11340","600","","1192.07296","","605","","20860","1205","1128902","complete","1955546264","0","121157","40846","","","results_container","","","","5015301"
