"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.6644283635541797","3250","","0","2350","0","","","0","results_prod_shelf_new","250","0","162831","","1550","0.431628","","","2959","1750","1547","S(6)","4830","3980","","minimize","","0.587322","","","","","","902","complete","5","18758","","","0.063443","3901"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1229.9947541635484","","","","297000","","","","","results_prod_shelf_new","5000","0","","","30200","136.337","","","","","","","69300","1554400","","minimize","","","","","1485000","","","","","0","","","","","1559797"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.10008417442441","2917","","0","2200","0","","","0","results_prod_shelf_new","250","0","224081","","1550","0.428461","","","3756","1750","1547","S(10)","4410","3710","","minimize","","1.029397","","","","","","1355","complete","1","20700","","","0.066844","3718"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","43.63315719459206","3250","","0","2350","0","","","0","results_prod_shelf_new","250","0","43291654","","1550","0.33247","","","3161","1750","1547","S(6)","4830","3980","","minimize","","42.873957","","","","","","160316","complete","5","736770","","","0.061468","3901"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.0418180488049984","3250","","0","2350","0","","","0","results_prod_shelf_new","250","0","240229","","1550","0.299977","","","3024","1750","1547","S(6)","4830","3980","","minimize","","0.484293","","","","","","1184","complete","5","22185","","","0.05619","3901"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","326.3610410457477","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","34723821","","6100","1.03183","","","15028","7000","6097","S(16)","19600","16100","","minimize","","324.600499","","","","","","59542","complete","5","2450713","","","0.258594","15564"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.8529245620593","11958","","0","9000","0","","","0","results_prod_shelf_new","1000","0","82099847","","6100","1.14291","","","26053","7000","6097","S(7)","18200","15200","","minimize","","1198.560434","","","","","","129297","complete","4","8042530","","","0.312468","14959"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","230.4440211802721","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","23010238","","6100","1.03113","","","15028","7000","6097","S(16)","19600","16100","","minimize","","228.67415","","","","","","26219","complete","5","1778916","","","0.262371","15564"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.7773565081879497","3028","","0","2250","0","","","0","results_prod_shelf_new","250","0","711068","","1550","0.316137","","","3554","1750","1547","S(9)","4550","3800","","minimize","","2.183944","","","","","","5846","complete","2","50360","","","0.056678","3779"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","21.206489268690348","13726","","0","9800","0","","","0","results_prod_shelf_new","1000","0","3278057","","6100","1.06532","","","13349","7000","6097","S(13)","20440","16640","","minimize","","19.229113","","","","","","17392","complete","7","134345","","","0.241405","15927"
