"configuration","problem","model","data_file","status","time","propagations","blockType","objective","nSolutions","peakDepth","paths","flatBoolConstraints","flatIntVars","flatTime","restarts","run","method","failures","unifiedVariables","evaluatedReifiedConstraints","extractedViews","flatIntConstraints","initTime","propagators","intVariables","evaluatedHalfReifiedConstraints","oracleDecisions","solveTime","userDecisions","flatBoolVars"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2483516177163","18720708","complete","7920","49","2403","0","615","785","0.128483","1591","results_free_container","minimize","152576","0","1722","390","1134","0.028124","1359","395","","477169","1199.893484","0","1107"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.539509373717","20625401","complete","5880","39","2436","0","570","725","0.136817","1658","results_free_container","minimize","180637","0","1596","360","1050","0.031598","1260","365","","550451","1199.857682","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5517269857228","20031774","complete","5100","32","1397","0","470","605","0.19069","2642","results_free_container","minimize","192668","0","1316","300","870","0.025941","1040","305","","755334","1199.797634","0","846"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.58271096088","9571206","complete","14175","42","3812","0","960","1205","0.206184","607","results_free_container","minimize","35125","0","2688","600","1758","0.04729","2118","605","","425265","1199.803784","0","1728"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.4216871047392","21353179","complete","3360","53","2380","0","465","605","0.121791","2453","results_free_container","minimize","208131","0","1302","300","864","0.02721","1029","305","","704848","1199.881205","0","837"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.659427108243","6096355","complete","11520","21","2599","0","960","1205","0.234463","609","results_free_container","minimize","24031","0","2688","600","1758","0.041858","2118","605","","218143","1199.773864","0","1728"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.3423253893852","25820426","complete","4800","42","1595","0","620","785","0.151626","2188","results_free_container","minimize","190129","0","1736","390","1140","0.031859","1370","395","","671994","1199.829341","0","1116"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.8062589820474","5318864315","complete","3168","60","36022","0","5415","605","1.68671","35531","results_free_container","minimize","1086369","0","1302","300","30563","0.352216","30728","305","29700","14548409","1197.985481","0","30537"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5689631849527","4851420","complete","11160","34","2598","0","960","1205","0.183104","385","results_free_container","minimize","21102","0","2688","600","1758","0.040678","2118","605","","185885","1199.835951","0","1728"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.564692929387","4764717","complete","8208","44","4869","0","960","1205","0.183983","289","results_free_container","minimize","10990","0","2688","600","1758","0.042982","2118","605","","281870","1199.83527","0","1728"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.5581637937576","25855420","complete","3971","30","1338","0","465","605","0.192727","2761","results_free_container","minimize","211927","0","1302","300","864","0.026229","1029","305","","694535","1199.797482","0","837"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.543986145407","25268367","complete","3870","33","1338","0","465","605","0.196487","2204","results_free_container","minimize","268936","0","1302","300","864","0.025856","1029","305","","666782","1199.783749","0","837"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.963456290774","5712203305","complete","7590","29","155193","0","20860","1205","6.37665","10584","results_free_container","minimize","346968","0","2688","600","121135","1.427481","121495","605","119378","12075995","1192.320765","0","121106"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.610308231786","2474583","complete","27972","36","10160","0","1200","1505","0.222053","68","results_free_container","minimize","3212","0","3360","750","2196","0.06194","2646","755","","244020","1199.813507","0","2160"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.3910085354","30739791","complete","5376","49","2408","0","570","725","0.150913","3044","results_free_container","minimize","226070","0","1596","360","1050","0.028437","1260","365","","764279","1199.832546","0","1026"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5668502291664","27196490","complete","4950","36","2297","0","470","605","0.195477","2683","results_free_container","minimize","275793","0","1316","300","870","0.026747","1040","305","","741022","1199.803285","0","846"
