"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.9778379295021296","0.07141","16","49","1774","0","0.005829","136","517","37","7","","4","15083","results_free_filter","33","539","minimize","0.202493","45","","0","","4","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.7482729619368911","0.051275","18","77","903","0","0.006123","57","0","57","0","","3","3055","results_free_filter","49","113","minimize","0.166425","35","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.8872922174632549","0.03295","10","48","1016","0","0.005071","126","216","26","1","","4","4666","results_free_filter","25","228","minimize","0.172567","32","","0","","1","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.7713219402357936","1.0587","28","43","9372","0","0.005604","35","8479","57","669","","1","173863","results_free_filter","49","8524","minimize","0.202192","35","","0","","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","53.22997939493507","52.598187","11","105","645930","0","0.008166","195","312124","75","7079","","5","4372926","results_free_filter","67","345904","minimize","0.165333","97","","0","","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6695203389972448","0.037965","16","49","542","0","0.005406","147","406","37","1","","4","6803","results_free_filter","33","191","minimize","0.158735","45","","0","","4","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","145.5764205707237","144.970914","32","73","832466","0","0.007517","108","455220","75","29027","","1","14040664","results_free_filter","67","606661","minimize","0.162053","65","","0","","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.869728296995163","0.074478","15","61","2884","0","0.005626","55","363","37","9","","2","11833","results_free_filter","33","862","minimize","0.168338","45","","0","","4","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","148.719841895625","148.047932","32","73","823189","0","0.008487","82","482351","75","29057","","1","14040781","results_free_filter","67","608652","minimize","0.160168","49","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.0879433006048203","0.040784","18","25","1547","0","0.008422","278","488","278","30","254","1","147842","results_free_filter","277","1608","minimize","0.210853","24","254","0","127","1","complete"
