"configuration","problem","model","data_file","status","time","randomSeed","flatBoolConstraints","optTime","trailMem","evaluatedReifiedConstraints","intVariables","failures","oracleDecisions","nogoods","solutions","nodes","peakDepth","flatTime","flatIntVars","objective","userDecisions","evaluatedHalfReifiedConstraints","initTime","propagations","solveTime","variables","intVars","backjumps","propagators","extractedViews","blockType","flatIntConstraints","objectiveBound","nSolutions","unifiedVariables","flatBoolVars","paths","baseMem","run","peakMem","boolVariables","method","restarts"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1203.1560658710077","","20860","","","120744","","","","","","","","7.00478","1799","15225","","","","","","","","","","","","121559","","11","","120552","0","","results_container_new","","","minimize",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2529627438635","","570","","","1596","365","278340","327687","","","","702","0.123459","725","5320","0","","0.026281","17903289","1199.894321","","","","1260","360","complete","1050","","34","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1810348704457","","620","","","1736","395","269640","333373","","","","2525","0.131772","785","4788","0","","0.029136","17932317","1199.857038","","","","1370","390","complete","1140","","38","0","1116","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.7590227648616","-178313657","7710","1197.498","0.94","43638","","1376562","","1376562","","2158970","1175","2.47217","1079","14256","","","0.581","7504928285","1197.576","111628","1079","763150","87786","","","44129","","30","","43524","0","0.0","results_container_new","0.0","110547","minimize","30"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1620212784037","","570","","","1596","365","292986","341726","","","","827","0.125341","725","6384","0","","0.026989","12155349","1199.855525","","","","1260","360","complete","1050","","33","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3359530419111","","1210","","","3388","755","75753","313945","","","","4534","0.186808","1505","16698","0","","0.05848","6827625","1199.831982","","","","2668","750","complete","2208","","50","0","2178","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.9354376271367","","4950","","","","","1152152","","","0","2304440","247","1.65924","605","","","29700","0.266571","3269932593","1198.34","30305","","","35048","","","30098","","0","","29700","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1807896010578","","20860","","","1366","","507","","","","","","7.04446","1205","8775","","119378","","2292435","52.9413","","","","","","","120965","144","1","","120552","0","","results_container_new","","119546","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3074969248846","","1200","","","3360","755","30592","276757","","","","4440","0.194603","1505","17248","0","","0.058724","3117484","1199.755132","","","","2646","750","complete","2196","","52","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2047561239451","","960","","","2688","605","70472","274192","","","","3671","0.157743","1205","12992","0","","0.044111","5718819","1199.844183","","","","2118","600","complete","1758","","53","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1880845455453","","9005","","","1736","395","1519604","3717674","","","","17554","2.82052","785","4524","0","50310","0.577528","1581416476","1196.650946","","","","51679","390","complete","51449","","48","0","51426","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2545787505805","","960","","","2688","605","88786","300377","","","","3667","0.171215","1205","11904","0","","0.043814","7373590","1199.86423","","","","2118","600","complete","1758","","55","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.158302246593","","465","","","1302","305","428813","481332","","","","651","0.113646","605","3312","0","","0.022304","18754708","1199.87821","","","","1029","300","complete","864","","41","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3170133717358","","1200","","","3360","755","72160","278252","","","","5936","0.180952","1505","18240","0","","0.060114","5970032","1199.898915","","","","2646","750","complete","2196","","38","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2869383869693","","615","","","1722","395","301811","349333","","","","859","0.131927","785","7800","0","","0.028132","16705480","1199.903295","","","","1359","390","complete","1134","","31","0","1107","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.19176838547","","620","","","1736","395","379141","447493","","","","1003","0.139687","785","4860","0","","0.028064","24270232","1199.850117","","","","1370","390","complete","1140","","43","0","1116","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1249975292012","","9000","","","1722","395","1732667","3575159","","","","17848","2.67482","785","7360","0","50310","0.573265","1777825100","1196.79377","","","","51668","390","complete","51443","","43","0","51417","0","","results_container_new","","","minimize","0"
