"configuration","problem","model","data_file","status","time","unifiedVariables","userDecisions","initTime","flatIntConstraints","backjumps","flatBoolVars","intVars","optTime","propagations","peakMem","randomSeed","variables","peakDepth","trailMem","boolVariables","solutions","nSolutions","evaluatedReifiedConstraints","nogoods","solveTime","intVariables","objective","method","paths","objectiveBound","failures","flatTime","flatBoolConstraints","restarts","oracleDecisions","flatIntVars","evaluatedHalfReifiedConstraints","nodes","propagators","blockType","run","extractedViews","baseMem","error"
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","UNKNOWN","1203.2216043593362","0","","2.416252","134708","","71098","","","","","","","","","","","0","55753","","","14686","","minimize","0","","","3.72415","15505","","","78023","10","","50653","init","results_carpet_new","55872","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.5425440529361","0","303031036","1.740679","94969","","61282","","","321073393","","","","44684","","","","0","45244","","1195.419528","11416","","minimize","0","","16382","3.03661","16196","0","0","48937","38","","33635","complete","results_carpet_new","51465","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","OPTIMAL_SOLUTION","1.6634477572515607","","","","83","","22","","","531881","","","","","","606","","25","23","","0.235855","","621","minimize","0","621","4058","0.290652","15","","","56","4","","","","results_carpet_new","","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1208.7086763679981","0","","11.416479","506357","","399302","","","","","","","","","","","0","273928","","","62106","","minimize","0","","","16.109","125481","","","227513","32","","129566","init","results_carpet_new","343270","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1203.3257949966937","0","","2.712346","87485","","58127","","","","","","","","","","","0","40208","","","18170","","minimize","0","","","2.44108","17824","","","44866","180","","31871","init","results_carpet_new","40212","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.6274760598317","0","","1.758131","94969","","61282","","","","","","","","","","","0","45244","","","11416","","minimize","0","","","2.93102","16196","","","48937","38","","33635","init","results_carpet_new","51465","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","ERROR","75.10533709824085","0","","1.728998","94969","","61282","","","","","","","","","","","0","45244","","","11416","","minimize","0","","","3.10607","16196","","","48937","38","","33635","init","results_carpet_new","51465","","MiniZinc stopped with a non-zero exit code, but did not output an error message. "
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1203.4063559155911","0","","2.841188","109604","","67086","","","","","","","","","","","0","48123","","","19568","","minimize","0","","","2.73072","18998","","","58256","","","44691","init","results_carpet_new","48127","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1203.1319088907912","0","","1.925288","112942","","74749","","","","","","","","","","","0","54875","","","11765","","minimize","0","","","3.43172","20027","","","57134","46","","33125","init","results_carpet_new","63973","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.7540835486725","0","","1.79824","98928","","65242","","","","","","","","","","","0","45244","","","11416","","minimize","0","","","3.04298","17186","","","48937","3998","","37558","init","results_carpet_new","51465","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1202.9390505701303","0","","2.781307","109604","","67086","","","","","","","","","","","0","48123","","","19568","","minimize","0","","","2.7282","18998","","","58256","","","44691","init","results_carpet_new","48127","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.534541924484","0","","8.414728","309206","","225713","","","","","","","","","","","0","156366","","","46927","","minimize","0","","","9.69422","69431","","","148741","14","","84320","init","results_carpet_new","181484","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1203.4845744315535","0","","1.794312","105311","","59057","","","","","","","","","","","0","44962","","","13238","","minimize","0","","","3.01717","14157","","","59252","8","","37107","init","results_carpet_new","46305","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1202.9454807136208","0","","1.786169","105311","","59057","","","","","","","","","","","0","44962","","","13238","","minimize","0","","","2.96937","14157","","","59252","8","","37107","init","results_carpet_new","46305","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1202.9481902662665","0","","2.649612","87306","","57947","","","","","","","","","","","0","40208","","","18170","","minimize","0","","","2.3134","17779","","","44866","","","31716","init","results_carpet_new","40212","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.880446289666","0","","3.037919","100860","","67442","","","","","","","","","","","0","46697","","","21256","","minimize","0","","","2.63335","20790","","","51819","","","39380","init","results_carpet_new","46701","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1201.21428668499","","","","311","","85","","","3611781","","","","","","3168","","90","94","","6.72394","","4055","minimize","0","3490","24230","0.23721","63","","","212","16","","","","results_carpet_new","","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1203.4060189994052","0","","2.231422","154825","","93583","","","","","","","","","","","0","67560","","","17671","","minimize","0","","","4.60028","23050","","","81889","4170","","62286","init","results_carpet_new","73938","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","OPTIMAL_SOLUTION","605.9207148486748","0","377993171","12.928675","528584","","380558","","","114350113","","","","6244495","","","","1","264935","","568.298944","77866","2073","minimize","0","","3560","16.4514","115701","0","0","257309","14","","150817","complete","results_carpet_new","306089","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","UNKNOWN","1203.5309719750658","0","","2.34968","134708","","71098","","","","","","","","","","","0","55753","","","14686","","minimize","0","","","3.7456","15505","","","78023","10","","50653","init","results_carpet_new","55872","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","OPTIMAL_SOLUTION","2.673146741464734","","","0.018","224","608","167","68","0.059","5770276","0.0","1227277276","16253","20","0.02","16183","","19","166","35103","1.886","","963","minimize","0","","35103","0.194596","51","19","","54","5","36045","355","","results_carpet_new","","0.0",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","OPTIMAL_SOLUTION","1.3687233962118626","","","0.018","262","967","202","69","0.124","624053","0.0","-237641663","13692","21","0.04","13621","","25","203","2124","0.13","","621","minimize","0","","2124","0.222394","60","25","","56","4","3592","429","","results_carpet_new","","0.0",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","OPTIMAL_SOLUTION","1.4177470793947577","","","0.017","320","4990","249","78","0.634","2327149","0.0","-1389034537","16929","24","0.05","16849","","33","249","6976","0.65","","621","minimize","0","","6976","0.198174","75","33","","65","5","12711","521","","results_carpet_new","","0.0",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1203.2723914766684","0","","1.893241","112942","","74749","","","","","","","","","","","0","54875","","","11765","","minimize","0","","","3.67735","20027","","","57134","46","","33125","init","results_carpet_new","63973","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","SATISFIED","1201.1781427767128","","","","207","","42","","","431489","","","","","","1784","","18","48","","0.66409","","2660","minimize","0","1992","3142","0.186981","28","","","141","6","","","","results_carpet_new","","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.2801193511114","0","","4.152948","191153","","131009","","","","","","","","","","","0","92059","","","29397","","minimize","0","","","5.49997","39008","","","95275","6","","55535","init","results_carpet_new","102876","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1203.3198346765712","0","","3.119814","101079","","67662","","","","","","","","","","","0","46697","","","21256","","minimize","0","","","2.77631","20845","","","51819","220","","39575","init","results_carpet_new","46701","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.2346687167883","0","","8.453602","309206","","225713","","","","","","","","","","","0","156366","","","46927","","minimize","0","","","9.53039","69431","","","148741","14","","84320","init","results_carpet_new","181484","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.2712436718866","0","","2.531032","137967","","80609","","","","","","","","","","","0","60685","","","17550","","minimize","0","","","3.96083","20068","","","76362","18","","49011","init","results_carpet_new","62698","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","UNKNOWN","1206.789557618089","0","","9.123946","313494","","218571","","","","","","","","","","","0","151926","","","55219","","minimize","0","","","9.38317","66723","","","157346","6","","95500","init","results_carpet_new","164987","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1205.5719722136855","0","","5.458935","221760","","171756","","","","","","","","","","","0","117688","","","31949","","minimize","0","","","7.09775","54148","","","100973","16","","80190","init","results_carpet_new","143756","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","SATISFIED","1200.6741022597998","","","","289","","113","","","3749784","","","","","","5137","","33","101","","3.35174","","1840","minimize","0","1513","13614","0.204379","112","","","171","36","","","","results_carpet_new","","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1204.5939048202708","0","","5.314652","221760","","171756","","","","","","","","","","","0","117688","","","31949","","minimize","0","","","6.87707","54148","","","100973","16","","80190","init","results_carpet_new","143756","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1203.6609845561907","0","","1.62706","115268","","70999","","","","","","","","","","","0","52993","","","13179","","minimize","0","","","3.4066","18147","","","61253","30","","37893","init","results_carpet_new","58995","",""
