"configuration","problem","model","data_file","status","time","extractedViews","flatIntVars","propagators","method","evaluatedReifiedConstraints","userDecisions","objective","eliminatedImplications","evaluatedHalfReifiedConstraints","blockType","solveTime","nSolutions","restarts","intVariables","failures","unifiedVariables","run","flatBoolConstraints","flatTime","flatIntConstraints","initTime","flatBoolVars","peakDepth","oracleDecisions","paths","propagations"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.5620636390522122","1750","1550","3028","minimize","4550","0","S(9)","250","","complete","2.001193","2","82","1547","4428","0","results_free_prod_shelf","2250","0.2997","3779","0.059943","3800","3585","65240","0","677231"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.117204286158","35000","30200","67593","minimize","101500","0","","5000","","complete","1192.917949","0","15","30197","11997","0","results_free_prod_shelf","48750","5.77723","78844","1.399085","82750","11120","2345850","0","135795341"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","11.023342963308096","1680","1488","3107","minimize","4620","0","S(5)","240","","complete","10.326293","4","746","1485","47726","0","results_free_prod_shelf","2250","0.370679","3738","0.064686","3810","3198","148993","0","4079070"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.0488693322986","35000","30200","69246","minimize","103600","0","","5000","","complete","1193.184632","0","57","30197","112792","0","results_free_prod_shelf","49500","5.57402","79747","1.325058","84100","57837","2861338","0","399956979"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1200.9631790379062","15750","13650","28443","minimize","43050","0","S(11)","2250","","complete","1197.165627","5","100","13647","8025","0","results_free_prod_shelf","21000","2.18383","34444","0.703078","35550","49158","4329013","0","43816157"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","5.120117956772447","1750","1550","3028","minimize","4550","0","S(9)","250","","complete","4.506672","2","12","1547","13614","0","results_free_prod_shelf","2250","0.31416","3779","0.057573","3800","3486","119616","0","1402326"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.2000657441095","35000","30200","68144","minimize","102200","0","","5000","","complete","1193.402781","0","62","30197","85166","0","results_free_prod_shelf","49000","5.2763","79145","1.414714","83200","61736","2384849","0","384982425"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.4561755061149597","1750","1550","3250","minimize","4830","0","S(4)","250","","complete","0.885686","6","30","1547","1142","0","results_free_prod_shelf","2350","0.311719","3901","0.059823","3980","3458","35585","0","342903"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","900.9188176849857","7000","6100","11958","minimize","18200","0","S(6)","1000","","complete","898.946914","7","97","6097","35299","0","results_free_prod_shelf","9000","1.08442","14959","0.329272","15200","26006","6900435","0","61340672"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","139.19563653413206","7000","6100","160264","minimize","19880","0","S(20)","1000","147000","complete","120.90994","1","3456","6097","114941","0","results_free_prod_shelf","34100","12.0764","162665","2.247502","163280","275420","4591093","0","570396426"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.1584319109097","35000","30200","68144","minimize","102200","0","","5000","","complete","1193.551983","0","44","30197","142994","0","results_free_prod_shelf","49000","5.15338","79145","1.389225","83200","61469","3100758","0","106503316"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.2369657866657","35000","30200","69246","minimize","103600","0","S(43)","5000","","complete","1192.99559","8","193","30197","21510","0","results_free_prod_shelf","49500","5.77818","79747","1.322526","84100","56354","880363","0","30954718"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1202.0608130460605","35000","30200","67593","minimize","101500","0","S(22)","5000","","complete","1193.168861","1","53","30197","7614","0","results_free_prod_shelf","48750","5.54927","78844","1.395194","82750","61442","794613","0","23120228"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","25.20361900050193","7000","6100","160043","minimize","19600","0","S(8)","1000","147000","complete","6.633429","6","47","6097","1738","0","results_free_prod_shelf","34000","12.2159","162544","2.321741","163100","290957","1917378","0","44967597"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.3242949387058616","1750","1550","3250","minimize","4830","0","S(4)","250","","complete","0.670491","5","19","1547","1139","0","results_free_prod_shelf","2350","0.316605","3901","0.065907","3980","3294","27844","0","278276"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.0499336775392","15750","13650","30098","minimize","45150","0","S(14)","2250","","complete","1197.115853","4","169","13647","27292","0","results_free_prod_shelf","21750","2.30536","35349","0.620641","36900","30596","2106772","0","42174310"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","10.257139657624066","1750","1550","3250","minimize","4830","0","S(4)","250","","complete","9.645894","6","35","1547","2665","0","results_free_prod_shelf","2350","0.316818","3901","0.05828","3980","3396","197766","0","2549342"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.1429865872487426","1750","1550","3250","minimize","4830","0","S(6)","250","","complete","0.518193","5","13","1547","1109","0","results_free_prod_shelf","2350","0.318543","3901","0.057957","3980","3002","22921","0","242673"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.4575345795601606","1750","1550","3250","minimize","4830","0","S(4)","250","","complete","0.896407","6","11","1547","2119","0","results_free_prod_shelf","2350","0.306656","3901","0.058892","3980","3306","35715","0","331671"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","249.84404854103923","7000","6100","11958","minimize","18200","0","S(6)","1000","","complete","247.997519","8","55","6097","9979","0","results_free_prod_shelf","9000","1.06411","14959","0.32605","15200","26815","1816059","0","18283404"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","690.0126566970721","7000","6100","13063","minimize","19600","0","S(16)","1000","","complete","688.245495","4","112","6097","40583","0","results_free_prod_shelf","9500","1.03851","15564","0.266223","16100","14765","5590014","0","81276524"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1201.004292299971","15750","13650","31091","minimize","46410","0","","2250","","complete","1197.187663","0","14","13647","73852","0","results_free_prod_shelf","22200","2.27339","35892","0.566233","37710","25998","4276834","0","163144597"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","170.48379701655358","15750","13650","530561","minimize","46410","0","S(13)","2250","499500","complete","104.480606","17","2224","13647","50553","0","results_free_prod_shelf","105450","44.1508","535362","8.027864","537210","536239","10655474","0","440959395"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","433.5361239993945","35000","30200","1549788","minimize","98000","0","S(11)","5000","1485000","complete","243.967783","13","332","30197","25489","0","results_free_prod_shelf","295000","126.285","1562289","24.882115","1565500","3004897","43759027","0","1876269535"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","80.30489414464682","7000","6100","13726","minimize","20440","0","S(13)","1000","","complete","78.458618","8","261","6097","16066","0","results_free_prod_shelf","9800","1.0521","15927","0.234763","16640","15212","21391617","0","22673362"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.057842639275","15750","13650","28443","minimize","43050","0","S(11)","2250","","complete","1197.136014","5","102","13647","16608","0","results_free_prod_shelf","21000","2.21346","34444","0.707228","35550","48951","4460460","0","48665785"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","535.6467296835035","35000","30200","1553094","minimize","102200","0","S(30)","5000","1485000","complete","346.747357","10","656","30197","27007","0","results_free_prod_shelf","296500","124.686","1564095","23.834255","1568200","1714390","39211498","0","1287165733"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.0545225292444","35000","30200","68144","minimize","102200","0","","5000","","complete","1193.352908","0","330","30197","20963","0","results_free_prod_shelf","49000","5.31186","79145","1.438347","83200","61567","2656003","0","90441372"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","771.1334941675887","15750","13650","31091","minimize","46410","0","S(13)","2250","","complete","767.191525","11","2827","13647","206246","0","results_free_prod_shelf","22200","2.29378","35892","0.566696","37710","22381","2419715","0","97786983"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1200.978441985324","15750","13650","30098","minimize","45150","0","","2250","","complete","1196.998749","0","13","13647","146201","0","results_free_prod_shelf","21750","2.39538","35349","0.642762","36900","29663","4708529","0","216064964"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","160.06232160516083","7000","6100","13284","minimize","19880","0","S(20)","1000","","complete","158.255307","1","4423","6097","141510","0","results_free_prod_shelf","9600","1.06914","15685","0.227517","16280","11363","1037927","0","40984218"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.1186930201948","35000","30200","64838","minimize","98000","0","","5000","","complete","1193.242659","0","3","30197","31669","0","results_free_prod_shelf","47500","5.22958","77339","1.686028","80500","39355","2201779","0","51077468"
