"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.5802147863432765","4420","182826","0.565656","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2443","97","80","27","complete","0","9440","3790","0.541539","10300","0.142327"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6015475913882256","4420","192002","0.555725","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2444","97","80","27","complete","0","9440","3898","0.54876","10561","0.145898"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4878263054415584","62","161496","0.504762","12502","satisfy","11780","4543","387","0","results_free_rect","38","3762","1","12901","2606","91","76","27","complete","0","8056","3446","0.457149","1104","0.125979"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.5702239545062184","5180","561842","0.488277","14620","satisfy","14580","5283","1179","0","results_free_rect","40","4610","1","15812","2444","97","840","27","complete","0","9440","3784","0.561836","12082","0.151842"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.7377330651506782","4661","190634","0.570944","15330","satisfy","14532","5523","427","0","results_free_rect","42","4662","1","15769","2444","99","84","27","complete","0","9912","3845","0.564374","11047","0.152301"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","8.226595105603337","82","1981438","6.843469","19803","satisfy","18837","7086","490","0","results_free_rect","46","6049","1","20305","33471","111","92","1291","complete","0","12834","39757","0.698242","16170","0.193115"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","200.49023852776736","2098","149975598","198.025386","38019","satisfy","38077","13406","2321","0","results_free_rect","58","12151","1","40352","609030","147","1740","17165","complete","0","24766","881946","1.34632","461281","0.387698"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","5.840099750086665","1062","1152660","4.487788","21022","satisfy","19964","7527","511","0","results_free_rect","46","6394","1","21545","14612","115","92","63","complete","0","13616","19032","0.721406","6012","0.202788"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.714527859352529","4661","193209","0.568145","15330","satisfy","14532","5523","427","0","results_free_rect","42","4662","1","15769","2444","99","84","27","complete","0","9912","3899","0.564729","11104","0.151119"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","7.218504479154944","194","1427045","5.635482","24048","satisfy","22896","8575","550","0","results_free_rect","48","7344","1","24610","19033","121","96","763","complete","0","15600","23674","0.823398","14235","0.247836"
