"configuration","problem","model","data_file","status","time","propagators","failures","intVariables","userDecisions","method","solutions","objectiveBound","flatTime","variables","optTime","trailMem","initTime","flatIntVars","propagations","randomSeed","oracleDecisions","flatBoolConstraints","evaluatedHalfReifiedConstraints","intVars","restarts","nogoods","paths","unifiedVariables","flatBoolVars","peakDepth","run","backjumps","baseMem","flatIntConstraints","nSolutions","extractedViews","blockType","objective","nodes","evaluatedReifiedConstraints","solveTime","boolVariables","peakMem"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.943053709343","2497","5581471","49","6266134","minimize","","","0.257695","","","","0.035347","105","656456711","","6997","608","2432","","0","","0","0","2432","2943","results_filter_new","","","2505","5","8","complete","18","","","1199.722992","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","57.77122913766652","35","237797","34","238341","minimize","","","0.167855","","","","0.006006","35","1567429","","0","","","","0","","0","0","","34","results_filter_new","","","36","6","1","complete","35","","","57.319119","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","64.21897036861628","67","334746","65","338625","minimize","","","0.166419","","","","0.008033","73","2260729","","0","","","","0","","0","0","","60","results_filter_new","","","75","1","8","complete","32","","","63.796894","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","66.9007781399414","67","334746","65","338625","minimize","","","0.168039","","","","0.008531","73","2260729","","0","","","","0","","0","0","","60","results_filter_new","","","75","1","8","complete","32","","","66.237659","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.8890253696590662","33","5400","45","23934","minimize","","","0.190883","","","","0.005947","61","80839","","0","","","","0","","0","0","","52","results_filter_new","","","37","2","4","complete","15","","","0.413233","",""
"gecode","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.4329132568091154","41","1095","","","minimize","2","","0.173864","61","","","0.000684","61","28141","","","","","","0","","0","","","51","results_filter_new","","","37","2","","","15","2257","","0.016173","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0319697819650173","49","113","35","903","minimize","","","0.275837","","","","0.006918","77","3055","","0","","","","0","","0","0","","57","results_filter_new","","","57","3","8","complete","18","","","0.051105","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.8036834793165326","11","7","18","32","minimize","","","0.1724","","","","0.006244","26","95","","0","","","","0","","0","0","","20","results_filter_new","","","14","1","3","complete","4","","","0.003665","",""
"chuffed","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.7606420069932938","1041","149","","","minimize","","","0.224072","5544","0.008","0.01","0.011","47","46901","-389805533","","127","","47","1","149","0","","508","39","results_filter_new","882","0.0","531","1","","","11","1070","508","0.008","5495","0.0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","64.53197730984539","67","332378","49","337078","minimize","","","0.180565","","","","0.008825","73","2266676","","0","","","","0","","0","0","","55","results_filter_new","","","75","1","8","complete","32","","","63.838494","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.7771248891949654","33","12257","29","12610","minimize","","","0.27629","","","","0.005664","33","114599","","0","","","","0","","0","0","","29","results_filter_new","","","37","1","4","complete","34","","","0.771357","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.8968124622479081","33","5400","45","23934","minimize","","","0.167563","","","","0.006759","61","80839","","0","","","","0","","0","0","","52","results_filter_new","","","37","2","4","complete","15","","","0.403354","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","15.483597220852971","35","90998","34","540687","minimize","","","0.166311","","","","0.006354","52","2474323","","0","","","","0","","0","0","","43","results_filter_new","","","36","12","1","complete","19","","","15.084351","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.4775308798999","67","4279840","97","15248770","minimize","","","0.17054","","","","0.007746","105","45089692","","0","","","","0","","0","0","","83","results_filter_new","","","75","3","8","complete","11","","","1199.822407","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.7108373753726482","25","363","24","2199","minimize","","","0.166602","","","","0.00567","48","6068","","0","","","","0","","0","0","","39","results_filter_new","","","26","3","1","complete","11","","","0.047671","",""
"chuffed","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.930706337094307","762","9786","","","minimize","","","0.240258","7506","0.005","0.02","0.011","36","5588057","2141290027","","180","","36","1","9786","0","","360","29","results_filter_new","5067","0.0","397","1","","","34","14882","360","0.439","7468","0.0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4714390682056546","531","245","24","1338","minimize","","","0.186315","","","","0.010339","48","55307","","2961","127","508","","0","","0","0","508","631","results_filter_new","","","532","5","1","complete","11","","","0.025821","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","38.71489376947284","35","227190","34","1397497","minimize","","","0.184881","","","","0.006761","52","6373808","","0","","","","0","","0","0","","43","results_filter_new","","","36","13","1","complete","19","","","37.922742","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.3455475028604","67","7866428","65","10060683","minimize","","","0.168705","","","","0.008099","105","53406984","","0","","","","0","","0","0","","76","results_filter_new","","","75","2","8","complete","16","","","1199.824809","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.3363896682858467","25","1738","24","1764","minimize","","","0.272405","","","","0.006445","25","16751","","0","","","","0","","0","0","","24","results_filter_new","","","26","1","1","complete","18","","","0.066472","",""
