"configuration","problem","model","data_file","status","time","flatTime","intVars","peakDepth","method","baseMem","boolVariables","blockType","oracleDecisions","nogoods","paths","evaluatedReifiedConstraints","peakMem","evaluatedHalfReifiedConstraints","objectiveBound","backjumps","userDecisions","objective","nodes","initTime","trailMem","flatIntVars","flatBoolVars","flatBoolConstraints","failures","propagations","run","extractedViews","flatIntConstraints","variables","randomSeed","solveTime","restarts","propagators","nSolutions","optTime","intVariables","unifiedVariables","solutions"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.964870840311","2.27634","","15289","minimize","","","complete","3516861","","0","1596","","42840","","","0","5760","","0.488597","","725","43866","7710","1709468","1713336876","results_container_new","360","43889","","","1197.271765","0","44099","36","","365","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.269948859699","6.89239","","","minimize","","","","","","0","","","119400","","","","","","","","1205","119400","19900","","","results_container_new","","120197","","","","","","0","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.192246175371","6.89914","","","minimize","","119543","","","","0","1344","","119400","180","","","9975","","","","1205","120552","20860","843","7253091","results_container_new","","120965","","","85.0851","","","2","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.342692735605","0.12773","","802","minimize","","","complete","274775","","0","1722","","","","","0","7400","","0.0279","","785","1107","615","223658","9523775","results_container_new","390","1134","","","1199.884686","0","1359","39","","395","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.1850745268166","6.91725","","","minimize","","","","","","0","","","119400","","","","","","","","1205","119400","19900","","","results_container_new","","120197","","","","","","0","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.3662195708603","2.44965","","209","minimize","","","","","","0","","","42840","","","","","1401195","0.391168","","725","42840","7140","700524","1645927352","results_container_new","","43319","43565","","1197.55","0","50459","0","","","","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2609876710922","0.125196","","758","minimize","","","complete","453790","","0","1596","","","","","0","6076","","0.026292","","725","1026","570","392893","25818995","results_container_new","360","1050","","","1199.865783","0","1260","31","","365","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.1950164707378","0.157567","","3384","minimize","","","complete","188863","","0","2688","","","","","0","7722","","0.041945","","1205","1728","960","83392","7639003","results_container_new","600","1758","","","1199.831834","0","2118","50","","605","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.3926321920007","0.176959","","3557","minimize","","","complete","260831","","0","2688","","","","","0","7500","","0.043878","","1205","1728","960","162155","12901875","results_container_new","600","1758","","","1199.857901","0","2118","45","","605","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.206149496138","0.1598","","1506","minimize","","","complete","211998","","0","2688","","","","","0","9800","","0.041569","","1205","1728","960","151524","12642983","results_container_new","600","1758","","","1199.836404","0","2118","29","","605","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.4974208241329","11.1583","","","minimize","","","","","","0","","","186750","","","","","","","","1505","186750","31125","","","results_container_new","","187745","","","","","","0","","","",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1785609666258","0.123392","","982","minimize","","","complete","337701","","0","1596","","","","","0","4800","","0.027277","","725","1026","570","287293","17540260","results_container_new","360","1050","","","1199.881651","0","1260","33","","365","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2812674650922","0.114762","","677","minimize","","","complete","577959","","0","1302","","","","","0","3480","","0.022418","","605","837","465","524935","30041096","results_container_new","300","864","","","1199.883647","0","1029","29","","305","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.2997051477432","0.169979","","3429","minimize","","","complete","217659","","0","2688","","","","","0","7623","","0.04213","","1205","1728","960","119460","9367373","results_container_new","600","1758","","","1199.85457","0","2118","49","","605","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.3713928209618","7.13778","","","minimize","","","","","","0","120744","","","","","","","","","","1799","120552","20860","","","results_container_new","","121559","","","","","","0","","","",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.7078575668857","6.61814","","40846","minimize","","","complete","5015301","","0","2688","","119400","","","0","11340","","1.463887","","1205","121128","20860","1128902","1955546264","results_container_new","600","121157","","","1192.07296","0","121517","65","","605","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.163514064625","0.117745","","539","minimize","","","complete","432128","","0","1302","","","","","0","4032","","0.022405","","605","837","465","386157","23088254","results_container_new","300","864","","","1199.869642","0","1029","39","","305","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1203.1708169775084","7.00769","","","minimize","","","","","","0","120744","","","","","","35910","","","","1799","120552","20860","","","results_container_new","","121559","","","","","","9","","","",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1834128880873","0.123258","","724","minimize","","","complete","391261","","0","1596","","","","","0","5760","","0.026726","","725","1026","570","340807","19825283","results_container_new","360","1050","","","1199.8811","0","1260","33","","365","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2979582175612","0.164524","","3620","minimize","","","complete","284977","","0","2688","","","","","0","12160","","0.045289","","1205","1728","960","110124","9901480","results_container_new","600","1758","","","1199.805977","0","2118","44","","605","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.1527636591345","6.81761","","","minimize","","","","","","0","","","119400","","","","","","","","1205","119400","19900","","","results_container_new","","120197","","","","","","0","","","",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.301008800976","0.15998","","1502","minimize","","","complete","212394","","0","2688","","","","","0","10962","","0.041412","","1205","1728","960","159585","11437089","results_container_new","600","1758","","","1199.878172","0","2118","23","","605","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.012716870755","10.4128","","61024","minimize","","","complete","5263381","","0","3388","","186750","","","0","15750","","2.268758","","1505","188928","32335","930638","2252251817","results_container_new","750","188957","","","1187.553183","0","189417","50","","755","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2324112625793","0.116307","","630","minimize","","","complete","555085","","0","1316","","","","","0","5265","","0.023276","","605","846","470","493460","30861030","results_container_new","300","870","","","1199.881208","0","1040","40","","305","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2026816820726","0.126607","","914","minimize","","","complete","236241","","0","1722","","","","","0","7776","","0.02818","","785","1107","615","191670","11247899","results_container_new","390","1134","","","1199.894099","0","1359","30","","395","0",""
