"configuration","problem","model","data_file","status","time","flatTime","nSolutions","nogoods","extractedViews","propagations","boolVariables","evaluatedHalfReifiedConstraints","oracleDecisions","userDecisions","run","flatBoolConstraints","nodes","intVars","failures","intVariables","unifiedVariables","evaluatedReifiedConstraints","flatIntConstraints","paths","baseMem","backjumps","peakDepth","restarts","flatIntVars","solutions","variables","method","randomSeed","initTime","trailMem","flatBoolVars","eliminatedImplications","propagators","blockType","peakMem","objective","solveTime","objectiveBound"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.6766535621136","0.899848","0","","24048","159109148","","96","0","4780041","results_rect","7344","","","4776282","121","0","15600","24610","0","","","16","0","8575","","","satisfy","","0.251462","","22896","48","550","complete","","","1198.846521",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","32.393118725158274","1.0678","1","","31131","8480601","","108","88209","88554","results_rect","9585","","","123353","135","0","20250","31769","0","","","1710","4315","11022","","","satisfy","","0.313156","","29781","54","626","complete","","","30.422529",""
"Huub_vsids_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","2.232786091044545","0.88408","1","","24048","238647","","96","25814","0","results_rect","7344","","","2969","121","0","15600","24610","0","","","7407","23","8575","","","satisfy","","0.24471","","22896","48","550","complete","","","0.589089",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.6033032406121","0.892311","0","","24048","567352326","","1200","0","5044607","results_rect","7620","","","5040528","121","0","15600","25713","0","","","16","0","8575","","","satisfy","","0.251115","","24000","48","1653","complete","","","1198.853365",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","2.275653261691332","0.992424","1","","26425","191844","","100","19644","0","results_rect","8075","","","1674","127","0","17150","27015","0","","","8375","5","9408","","","satisfy","","0.269307","","25175","50","578","complete","","","0.485234",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.532716616988182","0.381575","1","","9214","928236","","612","9631","5606","results_rect","2890","","","7589","79","0","5916","10098","0","","","3297","213","3383","","","satisfy","","0.097207","","9180","34","870","complete","","","0.785678",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","20.14566462300718","0.571064","1","","16380","5438970","","84","57516","81698","results_rect","4956","","","113680","103","0","10584","16839","0","","","68","3611","5905","","","satisfy","","0.153821","","15498","42","447","complete","","","19.072207",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","72.0089682303369","0.598135","1","","16380","15719345","","84","0","396985","results_rect","4956","","","396337","103","0","10584","16839","0","","","21","0","5905","","","satisfy","","0.164835","","15498","42","447","complete","","","70.845585",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.686732916161418","0.620296","1","","17138","239405","","88","13704","0","results_rect","5214","","","2843","105","0","11088","17603","0","","","5224","2","6161","","","satisfy","","0.167445","","16258","44","453","complete","","","0.499876",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.1604062505066","0.091947","0","","","819710628","","192","","","results_rect","144","59880215","","29940062","","","","283","0","","","57","0","123","0","317","satisfy","","0.003374","","192","96","429","","","","1199.91",""
