"configuration","problem","model","data_file","status","time","restarts","propagators","evaluatedReifiedConstraints","unifiedVariables","failures","flatTime","evaluatedHalfReifiedConstraints","intVariables","extractedViews","peakDepth","solveTime","method","flatIntConstraints","nSolutions","paths","eliminatedImplications","objective","run","initTime","flatBoolConstraints","flatIntVars","oracleDecisions","propagations","blockType","flatBoolVars","userDecisions"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.700258590281","8","11958","18200","0","1997836","1.08343","","6097","7000","26177","1198.826892","minimize","14959","3","0","1000","S(8)","results_prod_shelf","0.305475","9000","6100","19701519","234088131","complete","15200","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","161.51471887901425","3930","160264","19880","0","113196","13.079","147000","6097","7000","272511","141.924836","minimize","162665","1","0","1000","S(20)","results_prod_shelf","2.307894","34100","6100","4435226","607768661","complete","163280","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1200.5350565714762","5","13063","19600","0","636687","1.08153","","6097","7000","3258","1198.718669","minimize","15564","0","0","1000","","results_prod_shelf","0.275781","9500","6100","13070081","706217022","complete","16100","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.466039233841","57","68144","102200","0","629973","5.6272","","30197","35000","65932","1193.233015","minimize","79145","0","0","5000","","results_prod_shelf","1.476033","49000","30200","4644424","163646199","complete","83200","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","47.709243348799646","5113","13284","19880","0","164897","1.0909","","6097","7000","11523","45.923685","minimize","15685","1","0","1000","S(20)","results_prod_shelf","0.232211","9600","6100","1295191","49226020","complete","16280","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.3136728620156646","12","3028","4550","0","11980","0.304759","","1547","1750","3486","1.76413","minimize","3779","2","0","250","S(9)","results_prod_shelf","0.057751","2250","1550","123816","1409476","complete","3800","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.207162745297","163","69246","103600","0","17557","5.40443","","30197","35000","55986","1193.425887","minimize","79747","0","0","5000","","results_prod_shelf","1.282397","49500","30200","849834","29929709","complete","84100","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","158.26825925614685","3721","31091","46410","0","155887","2.38422","","13647","15750","26104","154.164477","minimize","35892","16","0","2250","S(13)","results_prod_shelf","0.578377","22200","13650","2256910","76230360","complete","37710","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.3426655223593","40","68144","102200","0","589708","5.57467","","30197","35000","65641","1193.260768","minimize","79145","1","0","5000","S(49)","results_prod_shelf","1.403551","49000","30200","3578292","132034073","complete","83200","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","1014.1310821408406","285","64838","98000","0","54691","5.58931","","30197","35000","221282","1004.760505","minimize","77339","7","0","5000","S(11)","results_prod_shelf","1.710288","47500","30200","14351476","158627596","complete","80500","0"
