"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5921519538388","1050","725","3345","","26","","complete","0.215801","","0","","","","","570","0.034614","4680","","","","0","","365","","292816","894756","1260","1026","1928","results_container","","35187575","minimize","0","360","1596","","1199.753796"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.3241624813527","864","605","6119","","55","","complete","0.128715","","0","","","","","465","0.021911","3762","","","","0","","305","","741505","1639701","1029","837","2707","results_container","","71627827","minimize","0","300","1302","","1199.860316"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1201.4101639678702","50828","785","0","","0","","","2.84269","","","","50310","","","8385","0.447469","","1200849","","","","","","","600360","","59213","50310","221","results_container","51095","2227377846","minimize","0","","","0","1197.16"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.9560134988278","43775","725","","","4","","","2.40248","","","","42840","42958","","7710","","5376","","","96","","","","","434","","","43524","","results_container","","4627548","minimize","0","","798","","26.8674"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.178344424814","1758","1205","1527","","49","","complete","0.157505","","0","","","","","960","0.041596","9975","","","","0","","605","","163095","681057","2118","1728","3356","results_container","","24605124","minimize","0","600","2688","","1199.825506"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.420832335949","1758","1205","1241","","29","","complete","0.196834","","0","","","","","960","0.043868","10875","","","","0","","605","","124755","648174","2118","1728","2491","results_container","","18044729","minimize","0","600","2688","","1199.78936"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.1613120194525","30769","899","39","972470","39","2430934","","1.76106","199.543","","-1679086100","","81998","0.0","5420","0.414","6240","3422353","899","","","0.63","","0.0","2430934","","61146","30264","646","results_container","82899","4723924273","minimize","0","","30358","","1198.236"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.6590906148776","1050","725","4696","","55","","complete","0.252514","","0","","","","","570","0.031509","5320","","","","0","","365","","595859","1457789","1260","1026","1649","results_container","","68223121","minimize","0","360","1596","","1199.734067"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6649894230068","1758","1205","791","","34","","complete","0.279921","","0","","","","","960","0.047122","11172","","","","0","","605","","59845","367330","2118","1728","2626","results_container","","11509978","minimize","0","600","2688","","1199.70109"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.581261483021","1758","1205","626","","53","","complete","0.261148","","0","","","","","960","0.044558","12096","","","","0","","605","","51800","484216","2118","1728","5657","results_container","","10852259","minimize","0","600","2688","","1199.704483"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.6075012525544","1134","785","2447","","52","","complete","0.205674","","0","","","","","615","0.035658","7488","","","","0","","395","","240702","708224","1359","1107","2403","results_container","","29267872","minimize","0","390","1722","","1199.777165"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.985455300659","30563","605","38196","","60","","complete","1.67991","","0","","29700","","","5415","0.346777","3168","","","","0","","305","","1105039","15270619","30728","30537","36022","results_container","","5636244047","minimize","0","300","1302","","1198.005471"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1200.5551373725757","2196","1505","42","","0","","complete","0.218596","","0","","","","","1200","0.061719","","","","","0","","755","","353135","431543","2646","2160","10276","results_container","","7873974","minimize","0","750","3360","","1199.835393"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.5510742682964","121157","1205","12502","","42","","complete","6.57016","","0","","119400","","","20860","1.461128","10488","","","","0","","605","","330808","13704970","121517","121128","156576","results_container","","6447290638","minimize","0","600","2688","","1192.06599"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.1862843940035","188896","1505","5646","","62","","complete","10.4374","","0","","186701","","","32325","2.250117","18228","","","","0","","755","","192689","19159159","189346","188861","244915","results_container","","5574492268","minimize","0","750","3360","","1187.50889"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1539938244969","1140","785","2486","","31","","complete","0.124788","","0","","","","","620","0.027854","4680","","","","0","","395","","222245","781590","1370","1116","1991","results_container","","23002841","minimize","0","390","1736","","1199.859239"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.1685726605356","43889","725","29081","","51","","complete","2.33413","","0","","42840","","","7710","0.506498","5568","","","","0","","365","","816519","15854231","44099","43866","53326","results_container","","6526371038","minimize","0","360","1596","","1197.198008"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2029120689258","2208","1505","568","","43","","complete","0.181724","","0","","","","","1210","0.058513","15960","","","","0","","755","","94253","636924","2668","2178","8491","results_container","","16262079","minimize","0","750","3388","","1199.791833"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.4140901882201","1758","1205","482","","29","","complete","0.185456","","0","","","","","960","0.040297","7740","","","","0","","605","","53970","313569","2118","1728","5823","results_container","","7498951","minimize","0","600","2688","","1199.786011"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.8063512379304","121135","1205","10663","","29","","complete","6.55506","","0","","119378","","","20860","1.45656","7590","","","","0","","605","","348179","12126879","121495","121106","155193","results_container","","5750331918","minimize","0","600","2688","","1192.125806"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.6936108842492","864","605","6120","","55","","complete","0.214184","","0","","","","","465","0.027002","3762","","","","0","","305","","742954","1641317","1029","837","2707","results_container","","71682129","minimize","0","300","1302","","1199.774077"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.3091147942469","1050","725","4693","","42","","complete","0.122466","","0","","","","","570","0.026548","5824","","","","0","","365","","475217","1448101","1260","1026","1647","results_container","","53225094","minimize","0","360","1596","","1199.899657"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2556280493736","864","605","2402","","2","","complete","0.121046","","0","","","","","465","0.025193","3960","","","","0","","305","","324968","659328","1029","837","1149","results_container","","19005290","minimize","0","300","1302","","1199.874969"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.7771074920893","51709","1169","23","617224","23","1599676","","2.84711","497.87","","-1567562393","","121829","0.0","9005","0.675","16200","2232131","1169","","","1.41","","0.0","1599676","","102906","51054","791","results_container","123000","7895690690","minimize","0","","51178","","1197.151"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.759069497697","2196","1505","229","","58","","complete","0.304711","","0","","","","","1200","0.062585","18360","","","","0","","755","","8168","423850","2646","2160","7480","results_container","","5576891","minimize","0","750","3360","","1199.763461"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1626192154363","1134","785","4103","","45","","complete","0.139131","","0","","","","","615","0.028379","7714","","","","0","","395","","460146","1266405","1359","1107","2038","results_container","","42783642","minimize","0","390","1722","","1199.840851"
