"configuration","problem","model","data_file","status","time","baseMem","optTime","restarts","evaluatedHalfReifiedConstraints","randomSeed","variables","boolVariables","peakMem","initTime","flatBoolVars","solutions","objective","solveTime","nSolutions","intVariables","flatIntConstraints","blockType","nogoods","nodes","oracleDecisions","intVars","method","error","propagators","unifiedVariables","flatBoolConstraints","propagations","peakDepth","failures","eliminatedImplications","flatIntVars","extractedViews","userDecisions","run","trailMem","evaluatedReifiedConstraints","flatTime","backjumps","objectiveBound","paths"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","9.931145957671106","","","50","","","","","","0.267535","16100","","S(8)","8.133898","7","6097","15564","complete","","","342966","","minimize","","13063","0","9500","3686990","13871","31201","1000","6100","7000","0","results_prod_new","","19600","1.08127","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","734.0178920794278","","","","147000","","","159615","","","160760","","13","713.761","8","","161947","","","","","","minimize","","","","34300","134704904","","25845","1000","6100","","","results_prod_new","","13720","13.8402","","13","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.3550326069817","","","57","","","","","","1.377563","83200","","","1193.457381","0","30197","79145","complete","","","4644358","","minimize","","68144","0","49000","163644108","65932","629912","5000","30200","35000","0","results_prod_new","","102200","5.4913","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","34.03996096551418","","","2736","","","","","","0.232373","16280","","S(20)","32.082189","1","6097","15685","complete","","","842964","","minimize","","13284","0","9600","30034384","11236","125534","1000","6100","7000","0","results_prod_new","","19880","1.13912","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.3569637229666114","","","76","","","","","","0.058019","3800","","S(9)","0.784087","2","1547","3779","complete","","","48092","","minimize","","3028","0","2250","725262","3341","6031","250","1550","1750","0","results_prod_new","","4550","0.31921","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.2978578805923","","","163","","","","","","1.267965","84100","","","1193.376288","0","30197","79747","complete","","","853728","","minimize","","69246","0","49500","30044230","55986","17557","5000","30200","35000","0","results_prod_new","","103600","5.49535","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","48.17496662866324","","","2114","","","","","","0.578646","37710","","S(13)","44.117772","5","13647","35892","complete","","","590228","","minimize","","31091","0","22200","27503593","26194","81107","2250","13650","15750","0","results_prod_new","","46410","2.4257","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","117.33525413833559","","","88","","","","","","1.464057","83200","","S(24)","107.658016","11","30197","79145","complete","","","2414400","","minimize","","68144","0","49000","55837213","62265","47512","5000","30200","35000","0","results_prod_new","","102200","6.0652","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","279.1545337298885","","","107","","","","","","1.672501","80500","","S(11)","269.807151","21","30197","77339","complete","","","12148678","","minimize","","64838","0","47500","98679909","298821","44595","5000","30200","35000","0","results_prod_new","","98000","5.5912","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.2277090977877","","","66","","","","","","2.032839","82750","","","1192.566695","0","30197","78844","complete","","","608799","","minimize","","67593","0","48750","21968913","14425","3474","5000","30200","35000","0","results_prod_new","","101500","5.53204","","","0"
