"configuration","problem","model","data_file","status","time","nSolutions","flatIntVars","nodes","flatBoolVars","solutions","run","solveTime","randomSeed","baseMem","method","objective","intVars","flatIntConstraints","unifiedVariables","variables","boolVariables","nogoods","flatBoolConstraints","initTime","blockType","trailMem","oracleDecisions","propagations","userDecisions","intVariables","backjumps","evaluatedReifiedConstraints","propagators","paths","evaluatedHalfReifiedConstraints","optTime","peakMem","failures","flatTime","restarts","peakDepth","objectiveBound","extractedViews"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.8416299149394035","1","43","","","","results_filter","0.261995","","","minimize","28","","57","0","","","","","0.006642","complete","","3922","102870","6419","35","","","49","0","","","","5601","0.19638","339","35","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","197.17810784932226","3","105","","","","results_filter","196.432585","","","minimize","14","","75","0","","","","","0.007863","complete","","3943431","15374101","0","97","","","67","0","","","","3094978","0.230973","55940","177","","8"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4613276356831193","9","48","","508","","results_filter","0.030292","","","minimize","10","","532","0","","","","127","0.010284","complete","","5736","67410","0","32","","","531","0","508","","","159","0.1837","2","650","","1"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","235.61267590057105","1","73","","","","results_filter","234.916819","","","minimize","32","","75","0","","","","","0.007067","complete","","3813553","30225871","0","65","","","67","0","","","","2294863","0.1742","92171","156","","8"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","210.56715322379023","1","73","","","","results_filter","210.00762","","","minimize","32","","75","0","","","","","0.007045","complete","","3432313","27093373","0","65","","","67","0","","","","2120544","0.197386","83671","193","","8"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4763290025293827","3","33","","","","results_filter","0.041405","","","minimize","15","","26","0","","","","","0.005583","complete","","2064","16672","0","24","","","25","0","","","","1548","0.165443","26","112","","1"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.6965996455401182","2","61","","","","results_filter","0.116219","","","minimize","11","","37","0","","","","","0.005755","complete","","0","18466","7788","45","","","33","0","","","","5109","0.172646","0","47","","4"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5076331412419677","3","33","","","","results_filter","0.04457","","","minimize","15","","26","0","","","","","0.005801","complete","","2134","18509","0","32","","","25","0","","","","1548","0.216125","27","129","","1"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.63746168743819","3","33","","","","results_filter","0.022888","","","minimize","15","","26","0","","","","","0.005604","complete","","274","8301","824","32","","","25","0","","","","746","0.205307","40","33","","1"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","1.000643183477223","2","61","","","","results_filter","0.176155","","","minimize","15","","37","0","","","","","0.006062","complete","","0","72064","21239","45","","","33","0","","","","4769","0.214961","0","52","","4"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.6250720797106624","14","52","","754","","results_filter","0.05429","","","minimize","18","","788","0","","","","241","0.013847","complete","","12960","150717","0","51","","","787","0","754","","","134","0.21975","3","933","","1"
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.4463383536785841","1","35","","","","results_filter","0.008373","","","minimize","35","","36","","","33","","","","","","","223","","","","","","0","","","","1","0.173423","","","35",""
"Huub_free_decomp","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.6268128100782633","3","77","","1344","","results_filter","0.018068","","","minimize","18","","1399","0","","","","336","0.020793","complete","","4796","47060","493","35","","","1391","0","1344","","","55","0.224512","0","1663","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.484056175686419","3","25","","","","results_filter","0.023039","","","minimize","18","","26","0","","","","","0.005314","complete","","793","11900","0","24","","","25","0","","","","363","0.18794","12","128","","1"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.49059545807540417","3","33","","","","results_filter","0.021124","","","minimize","15","","26","0","","","","","0.005795","complete","","0","6034","739","32","","","25","0","","","","621","0.225987","0","32","","1"
"chuffed","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.0969655252993107","1","28","47","80","","results_filter","0.003","-1027189350","0.0","minimize","4","27","93","","3424","3395","6","20","0.005","","0.0","","881","","","21","80","177","0","","0.003","0.0","6","0.27262","1","20","",""
"Huub_free_decomp","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.5586270214989781","1","33","","360","","results_filter","1.07418","","","minimize","34","","395","0","","","","180","0.010036","complete","","17614","3538436","23588","29","","","391","0","360","","","25599","0.221974","1356","389","","4"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5181711642071605","6","52","","","","results_filter","0.090525","","","minimize","18","","36","0","","","","","0.005612","complete","","550","10104","1103","51","","","35","0","","","","292","0.174786","3","130","","1"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","487.3069938207045","4","105","","","","results_filter","486.207456","","","minimize","18","","75","0","","","","","0.007088","complete","","2122302","41089142","3635660","49","","","67","0","","","","2764680","0.206866","126153","169","","8"
"gecode","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.8321790834888816","1","52","46","","1","results_filter","0.010425","","","minimize","18","","36","","84","","","","0.017184","","","","446","","","","","39","0","","","","6","0.190237","0","45","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","0.8491253135725856","1","57","","","","results_filter","0.039393","","","minimize","34","","75","","","48","","","","","","","626","","","","","","0","","","","1","0.196183","","","34",""
"Huub_vsids_basic","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4559284383431077","1","48","","","","results_filter","0.006176","","","minimize","11","","26","0","","","","","0.0056","complete","","137","2620","0","24","","","25","0","","","","22","0.1765","0","113","","1"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","542.2373284623027","3","105","","2432","","results_filter","541.328856","","","minimize","10","","2505","0","","","","608","0.036413","complete","","4198","1005331490","9178347","97","","","2497","0","2432","","","4031256","0.264163","0","3106","","8"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.8118816809728742","1","51","","","","results_filter","0.157419","","","minimize","28","","57","0","","","","","0.005775","complete","","2230","52345","3029","35","","","49","0","","","","3848","0.206301","61","40","","8"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.45640686713159084","3","77","","","","results_filter","0.024281","","","minimize","18","","57","0","","","","","0.006224","complete","","0","2821","816","35","","","49","0","","","","99","0.174503","0","57","","8"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6392116686329246","3","33","","","","results_filter","0.041242","","","minimize","15","","26","0","","","","","0.006064","complete","","216","7896","783","24","","","25","0","","","","717","0.195853","36","27","","1"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","172.1950714159757","5","105","","","","results_filter","170.742285","","","minimize","18","","75","0","","","","","0.010155","complete","","3053765","16952128","0","49","","","67","0","","","","2411235","0.231959","49595","183","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.4221611497923732","3","77","","","","results_filter","0.023114","","","minimize","18","","57","0","","","","","0.006268","complete","","0","2821","816","35","","","49","0","","","","99","0.166435","0","57","","8"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7058173893019557","3","61","","","","results_filter","0.090484","","","minimize","11","","37","0","","","","","0.005836","complete","","543","15071","5164","45","","","33","0","","","","3616","0.213797","58","47","","4"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.5903758024796844","1","33","","","","results_filter","0.13064","","","minimize","34","","37","0","","","","","0.006066","complete","","0","46899","5315","29","","","33","0","","","","4915","0.184472","0","29","","4"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.47590731270611286","4","61","","","","results_filter","0.028011","","","minimize","15","","37","0","","","","","0.005685","complete","","887","10591","0","45","","","33","0","","","","270","0.169532","7","149","","4"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","3.383649109862745","8","52","","","","results_filter","2.73087","","","minimize","18","","36","0","","","","","0.005999","complete","","0","606410","175142","51","","","35","0","","","","44257","0.205312","0","46","","1"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","24.939482014626265","3","105","","","","results_filter","24.355899","","","minimize","11","","75","0","","","","","0.007801","complete","","280015","4333852","675644","97","","","67","0","","","","340182","0.234668","6211","209","","8"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","27.693917800672352","4","105","","","","results_filter","27.261543","","","minimize","10","","75","0","","","","","0.007746","complete","","591553","4269452","0","97","","","67","0","","","","514398","0.181016","5821","198","","8"
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7195414397865534","2","61","","","","results_filter","0.174289","","","minimize","15","","37","0","","","","","0.006233","complete","","0","77759","22850","45","","","33","0","","","","5147","0.186996","0","52","","4"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.49109910149127245","1","77","","","","results_filter","0.008449","","","minimize","17","","57","0","","","","","0.006086","complete","","157","4649","0","69","","","49","0","","","","0","0.190612","0","158","","8"
"cp-sat","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.41387666016817093","2","61","","","","results_filter","0.015031","","","minimize","15","","37","","","97","","","","","","","3972","","","","","","0","","","","83","0.167056","","","15",""
"chuffed","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.6591096669435501","3","84","410","1344","","results_filter","0.014","1094875238","0.0","minimize","18","83","1405","","11546","11461","30","336","0.025","","0.04","","42455","","","239","1344","2758","0","","0.014","0.0","30","0.22801","3","57","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.301363508217","4","105","","","","results_filter","1199.801289","","","minimize","10","","75","0","","","","","0.007836","complete","","0","92829183","33101623","97","","","67","0","","","","7370731","0.194714","0","87","","8"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","159.8501077229157","4","105","","","","results_filter","158.768233","","","minimize","14","","75","0","","","","","0.007335","complete","","3689494","12700642","0","97","","","67","0","","","","2963149","0.196901","51830","200","","8"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.285164824687","3","105","","","","results_filter","1199.805119","","","minimize","11","","75","0","","","","","0.007351","complete","","0","88469803","29103137","97","","","67","0","","","","8351910","0.186976","0","83","","8"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6834037462249398","3","33","","","","results_filter","0.019788","","","minimize","15","","26","0","","","","","0.005735","complete","","0","6034","739","32","","","25","0","","","","621","0.201453","0","32","","1"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","1.0700033847242594","4","48","","","","results_filter","0.035715","","","minimize","10","","26","0","","","","","0.006045","complete","","224","5016","1016","32","","","25","0","","","","228","0.232904","1","129","","1"
"gecode","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.47098797000944614","1","35","35","","1","results_filter","0.006864","","","minimize","35","","36","","101","","","","0.000682","","","","902","","","","","38","0","","","","5","0.171624","0","33","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6118386816233397","1","43","","","","results_filter","0.121371","","","minimize","28","","57","0","","","","","0.00633","complete","","0","28811","3351","35","","","49","0","","","","3231","0.167933","0","35","","8"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6820630328729749","1","51","","","","results_filter","0.227368","","","minimize","28","","57","0","","","","","0.005874","complete","","3065","79202","4867","35","","","49","0","","","","4585","0.190337","230","40","","8"
"chuffed","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.4551654914394","1","112","12533005","2424","","results_filter","1199.715","-1465006912","0.0","minimize","16","111","2503","","15598","15485","7776304","606","0.04","","0.05","","1610239573","","","4756597","2424","4936","0","","0.09","0.0","7776304","0.282371","1","76","",""
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.4131417945027351","1","26","","","","results_filter","0.030314","","","minimize","4","","14","","","21","","","","","","","44","","","","","","0","","","","1","0.320157","","","4",""
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","128.42683557607234","6","35","","","","results_filter","127.98981","","","minimize","35","","36","0","","","","","0.00597","complete","","287648","5083199","364381","34","","","35","0","","","","478772","0.174706","13390","74","","1"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.48858003690838814","2","77","","","","results_filter","0.0109","","","minimize","17","","57","0","","","","","0.006048","complete","","0","752","170","69","","","49","0","","","","14","0.178566","0","67","","8"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.9734508758410811","3","49","","","","results_filter","0.13422","","","minimize","18","","37","0","","","","","0.006432","complete","","3808","47077","0","29","","","33","0","","","","2714","0.218267","26","110","","4"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7050772784277797","2","61","","720","","results_filter","0.038811","","","minimize","15","","755","0","","","","180","0.013764","complete","","1986","205991","4441","45","","","751","0","720","","","1085","0.337178","23","911","","4"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5192019669339061","3","25","","","","results_filter","0.02377","","","minimize","18","","26","0","","","","","0.005356","complete","","793","11900","0","24","","","25","0","","","","363","0.192812","12","128","","1"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5565855940803885","4","52","","","","results_filter","0.024006","","","minimize","18","","36","0","","","","","0.006042","complete","","446","5564","0","51","","","35","0","","","","102","0.205104","1","122","","1"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","1.292022716253996","1","51","70441","754","","results_filter","0.572","203717097","0.0","minimize","18","52","787","","7832","7778","15909","241","0.016","","0.02","","6062875","","","54486","754","1543","0","","0.57","0.0","15909","0.254322","1","46","",""
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","600.040355803445","2","105","","","","results_filter","598.583374","","","minimize","18","","75","0","","","","","0.007845","complete","","2231962","39913548","3546217","49","","","67","0","","","","3089107","0.230811","106897","146","","8"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6918633067980409","3","49","","","","results_filter","0.059002","","","minimize","16","","37","0","","","","","0.006102","complete","","0","24829","4667","45","","","33","0","","","","1098","0.220529","0","42","","4"
"chuffed","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.591394416987896","3","32","735","310","","results_filter","0.016","297790589","0.0","minimize","15","33","333","","5292","5257","434","127","0.009","","0.01","","114664","","","213","310","645","0","","0.008","0.0","434","0.189672","3","32","",""
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","40.24930206593126","1","35","","","","results_filter","39.621958","","","minimize","35","","36","0","","","","","0.006062","complete","","883876","4013838","0","34","","","35","0","","","","649916","0.222633","21147","110","","1"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.7299720989540219","4","49","","","","results_filter","0.265407","","","minimize","18","","37","0","","","","","0.005465","complete","","3316","109230","12746","29","","","33","0","","","","5578","0.165142","109","37","","4"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","125.79230665042996","6","105","","","","results_filter","124.704603","","","minimize","18","","75","0","","","","","0.007092","complete","","2820724","14269992","0","49","","","67","0","","","","2224543","0.205109","42104","155","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5840384922921658","1","51","","","","results_filter","0.102262","","","minimize","28","","57","0","","","","","0.005774","complete","","0","24744","2955","35","","","49","0","","","","2738","0.190013","0","40","","8"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","42.2689314102754","4","105","","","","results_filter","41.592339","","","minimize","16","","75","0","","","","","0.007818","complete","","859618","8071523","0","65","","","67","0","","","","623085","0.224494","19538","187","","8"
"gecode","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.44433582201600075","1","52","43","","1","results_filter","0.006121","","","minimize","19","","36","","84","","","","0.002645","","","","528","","","","","39","0","","","","6","0.1661","0","42","",""
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5140402354300022","1","61","","","","results_filter","0.011618","","","minimize","15","","37","0","","","","","0.005959","complete","","333","4668","0","45","","","33","0","","","","134","0.196705","1","116","","4"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.9370860494673252","1","33","","","","results_filter","0.540603","","","minimize","34","","37","0","","","","","0.005857","complete","","7610","170483","11835","29","","","33","0","","","","14098","0.164126","453","37","","4"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","235.07442978210747","6","35","","482","","results_filter","234.554003","","","minimize","35","","516","0","","","","241","0.011202","complete","","583041","115780865","506544","34","","","515","0","482","","","764709","0.230068","23845","550","","1"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","643.6840008394793","4","105","","","","results_filter","643.141051","","","minimize","18","","75","0","","","","","0.007962","complete","","2182942","38480910","3339368","49","","","67","0","","","","2744519","0.185531","115685","143","","8"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3089911546558","3","105","","2432","","results_filter","1199.685421","","","minimize","14","","2505","0","","","","608","0.034678","complete","","6468","734763448","8379325","97","","","2497","0","2432","","","7939301","0.282025","0","3057","","8"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.44491996336728334","2","69","","","","results_filter","0.010051","","","minimize","21","","57","0","","","","","0.006193","complete","","0","885","110","35","","","49","0","","","","5","0.174933","0","54","","8"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.9306126404553652","1","33","","360","","results_filter","0.334615","","","minimize","34","","395","0","","","","180","0.009273","complete","","360","912180","10665","29","","","391","0","360","","","10350","0.230499","0","389","","4"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.4901655288413167","1","25","","","","results_filter","0.021085","","","minimize","18","","26","0","","","","","0.005629","complete","","245","8732","480","24","","","25","0","","","","638","0.188952","15","24","","1"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5430846735835075","1","51","","","","results_filter","0.103776","","","minimize","28","","57","0","","","","","0.006184","complete","","0","24744","2955","35","","","49","0","","","","2738","0.175958","0","40","","8"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","8.048601401038468","6","35","","","","results_filter","7.433423","","","minimize","35","","36","0","","","","","0.005645","complete","","0","918770","111846","34","","","35","0","","","","111367","0.217415","0","34","","1"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.7091101938858628","1","48","","","","results_filter","0.006014","","","minimize","10","","26","0","","","","","0.005175","complete","","144","2645","0","32","","","25","0","","","","26","0.221554","0","116","","1"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","48.42733964882791","9","105","","2432","","results_filter","47.870001","","","minimize","16","","2505","0","","","","608","0.033662","complete","","1404354","190910401","0","65","","","2497","0","2432","","","771868","0.259622","22996","2981","","8"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6097023924812675","4","33","","310","","results_filter","0.055129","","","minimize","15","","334","0","","","","127","0.008439","complete","","4464","186280","0","32","","","333","0","310","","","2082","0.213629","8","437","","1"
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.7597485668957233","3","49","","","","results_filter","0.056883","","","minimize","16","","37","0","","","","","0.006089","complete","","0","25624","4827","45","","","33","0","","","","1124","0.222194","0","42","","4"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7408920302987099","2","61","","","","results_filter","0.133792","","","minimize","11","","37","0","","","","","0.005696","complete","","0","21998","9348","45","","","33","0","","","","6056","0.213949","0","47","","4"
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.9852739721536636","1","33","","","","results_filter","0.357649","","","minimize","34","","37","0","","","","","0.007392","complete","","0","101701","10973","29","","","33","0","","","","10642","0.192466","0","29","","4"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.6430676290765405","2","61","","720","","results_filter","0.037738","","","minimize","11","","755","0","","","","180","0.013402","complete","","1737","133191","3558","45","","","751","0","720","","","1185","0.236901","0","916","","4"
"Huub_user_basic","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.190200307406485","1","26","","","","results_filter","0.003465","","","minimize","4","","14","0","","","","","0.004356","complete","","0","95","32","18","","","11","0","","","","7","0.263943","0","20","","3"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","89.75088844820857","1","73","","","","results_filter","89.235975","","","minimize","32","","75","0","","","","","0.007389","complete","","518247","14499187","843387","49","","","67","0","","","","652782","0.197689","28241","92","","8"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.128843940794468","14","49","","600","","results_filter","0.12615","","","minimize","18","","635","0","","","","180","0.012653","complete","","14707","394720","0","29","","","631","0","600","","","2991","0.20908","12","759","","4"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.9215119108558","7","105","","2432","","results_filter","1199.676485","","","minimize","14","","2505","0","","","","608","0.033409","complete","","4204626","1102096638","6327526","97","","","2497","0","2432","","","6140406","0.301635","183319","3515","","8"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","23.05787887610495","6","35","","","","results_filter","22.454274","","","minimize","35","","36","0","","","","","0.005555","complete","","0","1476525","217764","34","","","35","0","","","","217283","0.21087","0","34","","1"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5398704223334789","3","33","","","","results_filter","0.020346","","","minimize","15","","26","0","","","","","0.005986","complete","","0","6034","739","32","","","25","0","","","","621","0.176368","0","32","","1"
"cp-sat","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.4951449427753687","4","49","","","","results_filter","0.024125","","","minimize","16","","37","","","129","","","","","","","7920","","","","","","0","","","","248","0.178956","","","16",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4802736584097147","3","33","","","","results_filter","0.020334","","","minimize","15","","26","0","","","","","0.005539","complete","","0","6034","739","32","","","25","0","","","","621","0.179476","0","32","","1"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.8101163748651743","1","43","","672","","results_filter","0.307524","","","minimize","28","","727","0","","","","336","0.012948","complete","","5901","1830027","8002","35","","","719","0","672","","","7273","0.218763","417","707","","8"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6341486573219299","3","33","","","","results_filter","0.020554","","","minimize","15","","26","0","","","","","0.005175","complete","","0","6016","724","24","","","25","0","","","","621","0.207824","0","27","","1"
"cp-sat","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.4207042995840311","1","43","","","","results_filter","0.008984","","","minimize","28","","57","","","36","","","","","","","406","","","","","","0","","","","4","0.172075","","","28",""
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","13.373279706574976","4","105","","","","results_filter","12.939511","","","minimize","11","","75","0","","","","","0.007876","complete","","263533","2365114","0","97","","","67","0","","","","215110","0.174084","3731","196","","8"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","210.09797474369407","6","57","","","","results_filter","209.666993","","","minimize","34","","75","0","","","","","0.007112","complete","","2822867","18335987","0","49","","","67","0","","","","2140366","0.175084","57007","143","","8"
"chuffed","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.6781944613904","1","64","19943977","1212","","results_filter","1199.724","1105974601","0.0","minimize","34","64","1291","","14070","14004","10175892","606","0.028","","0.05","","10347499581","","","9768008","1212","2512","0","","0.008","0.0","10175892","0.272083","1","49","",""
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.8384355837479234","1","52","","","","results_filter","0.036015","","","minimize","18","","36","","","125","","","","","","","328","","","","","","0","","","","80","0.181725","","","18",""
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4302146965637803","2","77","","","","results_filter","0.011007","","","minimize","17","","57","0","","","","","0.005981","complete","","0","772","180","69","","","49","0","","","","19","0.172448","0","67","","8"
