"configuration","problem","model","data_file","status","time","nSolutions","flatIntVars","nodes","flatBoolVars","solutions","run","solveTime","randomSeed","baseMem","method","objective","intVars","flatIntConstraints","unifiedVariables","variables","boolVariables","nogoods","flatBoolConstraints","initTime","blockType","trailMem","oracleDecisions","propagations","userDecisions","intVariables","backjumps","evaluatedReifiedConstraints","propagators","paths","evaluatedHalfReifiedConstraints","optTime","peakMem","failures","flatTime","restarts","peakDepth","objectiveBound","extractedViews"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.941584293730557","4","49","","","","results_filter","0.234673","","","minimize","18","","37","0","","","","","0.00578","complete","","2641","99789","12417","29","","","33","0","","","","5528","0.231602","151","37","","4"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.2782453084365","2","105","","","","results_filter","1199.821786","","","minimize","14","","75","0","","","","","0.007999","complete","","0","93244680","23225844","97","","","67","0","","","","6731404","0.171143","0","83","","8"
"Huub_user_s+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.587128035724163","1","51","","","","results_filter","0.110509","","","minimize","28","","57","0","","","","","0.006266","complete","","0","24744","2955","35","","","49","0","","","","2738","0.194001","0","40","","8"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.7392059350386262","1","48","","","","results_filter","0.006285","","","minimize","10","","26","0","","","","","0.005195","complete","","144","2645","0","32","","","25","0","","","","26","0.233336","0","116","","1"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1201.2275277785957","4","105","","","","results_filter","1199.765075","","","minimize","18","","75","0","","","","","0.010101","complete","","0","53467532","8523904","49","","","67","0","","","","6881595","0.23416","0","75","","8"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","3.334689092822373","3","105","","","","results_filter","2.757141","","","minimize","11","","75","0","","","","","0.007303","complete","","67613","554999","0","97","","","67","0","","","","51709","0.19908","606","160","","8"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.2308652708306909","1","33","","","","results_filter","0.638153","","","minimize","34","","37","0","","","","","0.007353","complete","","9792","200479","11322","29","","","33","0","","","","16189","0.184137","373","40","","4"
"chuffed","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.703134409152","1","80","19675708","1452","","results_filter","1199.713","272220050","0.0","minimize","32","80","1531","","14406","14324","19064790","606","0.032","","0.05","","7555094288","","","610838","1452","2992","0","","0.012","0.0","19064790","0.28285","1","54","",""
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.3983884118497372","4","33","","","","results_filter","0.945054","","","minimize","34","","37","0","","","","","0.005751","complete","","36791","279155","0","29","","","33","0","","","","26014","0.20191","763","97","","4"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.8409055350348353","1","26","","","","results_filter","0.004001","","","minimize","6","","14","0","","","","","0.005156","complete","","0","135","44","18","","","11","0","","","","14","0.190885","0","20","","3"
