"configuration","problem","model","data_file","status","time","propagators","extractedViews","propagations","evaluatedReifiedConstraints","blockType","method","peakDepth","unifiedVariables","oracleDecisions","flatBoolConstraints","flatBoolVars","evaluatedHalfReifiedConstraints","run","solveTime","flatIntVars","nSolutions","failures","paths","flatTime","intVariables","eliminatedImplications","restarts","userDecisions","initTime","flatIntConstraints"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.7695305650122464","343","8517","56747","5474","complete","satisfy","2624","0","3630","2567","8007","68","results_rect_basic_prop","0.096496","3124","1","782","0","0.334594","75","34","0","0","0.084788","8841"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","1.9428993210894987","305","6615","67166","4230","complete","satisfy","1999","0","3049","1965","6165","60","results_rect_basic_prop","0.110098","2458","1","820","0","1.50139","67","30","0","0","0.072424","6903"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.3412564790342003","424","12502","183989","8056","complete","satisfy","3786","0","5535","3762","11780","76","results_rect_basic_prop","0.363463","4543","1","1571","0","0.526547","91","38","0","0","0.125795","12901"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.750069861067459","305","6615","77602","4230","complete","satisfy","2016","0","2527","1965","6165","60","results_rect_basic_prop","0.134522","2458","1","1339","0","0.303475","67","30","79","1015","0.072205","6903"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.243902752059512","368","9738","927095","6264","complete","satisfy","18","0","0","2934","9162","72","results_rect_basic_prop","2.415038","3561","1","15313","0","0.407861","81","36","0","15722","0.106631","10085"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.380538407014683","362","9214","308474","5916","complete","satisfy","34","0","1173","2754","8636","68","results_rect_basic_prop","0.625594","3383","1","3610","0","0.382563","79","34","33","2628","0.096746","9555"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7409148620209","779","39904","182781466","25984","complete","satisfy","18","0","0","12296","38222","116","results_rect_basic_prop","1198.289528","14077","0","3897737","0","1.31385","151","58","0","3900844","0.396122","40639"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","5.17336063599214","602","25025","1050277","16250","complete","satisfy","784","0","9476","7675","23875","100","results_rect_basic_prop","3.501549","8904","1","13440","0","0.885659","123","50","441","10640","0.262896","25593"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","59.81942995497957","701","32724","14326182","21276","complete","satisfy","1918","0","129970","10044","31266","108","results_rect_basic_prop","57.742055","11593","1","208441","0","1.13416","139","54","6271","156000","0.334502","33385"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.6226429869420826","460","14620","156569","9440","complete","satisfy","69","0","610","4420","13820","80","results_rect_basic_prop","0.456272","5283","1","2857","0","0.623625","97","40","1","2450","0.160508","15053"
