"configuration","problem","model","data_file","status","time","eliminatedImplications","flatTime","method","propagations","userDecisions","nSolutions","extractedViews","intVariables","flatBoolConstraints","evaluatedHalfReifiedConstraints","flatIntConstraints","propagators","flatIntVars","blockType","flatBoolVars","failures","run","initTime","paths","unifiedVariables","restarts","solveTime","peakDepth","evaluatedReifiedConstraints","oracleDecisions"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6971100266091526","30","0.275686","satisfy","77592","1015","1","6615","67","1965","60","6903","305","2458","complete","6165","1337","results_rect_merge","0.064091","0","0","79","0.133162","2010","4230","2522"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.858733139000833","36","0.387476","satisfy","1042661","25347","1","9738","81","2934","72","10085","368","3561","complete","9162","25261","results_rect_merge","0.092124","0","0","0","3.11172","19","6264","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.2847900628112257","34","0.369475","satisfy","208526","2614","1","9214","79","2754","68","9555","362","3383","complete","8636","4080","results_rect_merge","0.091562","0","0","33","0.510823","73","5916","1713"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7012398401275","58","1.30906","satisfy","187403097","4014399","0","39904","151","12296","116","40639","779","14077","complete","38222","4011201","results_rect_merge","0.405383","0","0","0","1198.282299","18","25984","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","5.000119954813272","50","0.81341","satisfy","1077307","10640","1","25025","123","7675","100","25593","602","8904","complete","23875","13787","results_rect_merge","0.238833","0","0","441","3.459631","784","16250","9796"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","34.64667928777635","54","1.20032","satisfy","8563838","80361","1","32724","139","10044","108","33385","701","11593","complete","31266","113016","results_rect_merge","0.329867","0","0","3421","32.48641","1849","21276","77857"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.4318257379345596","40","0.531168","satisfy","156973","2450","1","14620","97","4420","80","15053","460","5283","complete","13820","2817","results_rect_merge","0.136946","0","0","1","0.43536","67","9440","538"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.5989376078359783","38","0.533589","satisfy","221026","2723","1","12502","91","3762","76","12901","424","4543","complete","11780","3781","results_rect_merge","0.121236","0","0","39","0.568306","56","8056","1407"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5833526458591","50","0.987001","satisfy","151081705","4212697","0","26425","127","8075","100","27015","626","9408","complete","25175","4207506","results_rect_merge","0.257043","0","0","0","1198.753331","16","17150","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","161.41371577978134","54","1.09665","satisfy","38004845","390621","1","31131","135","9585","108","31769","676","11022","complete","29781","497910","results_rect_merge","0.313563","0","0","16273","159.391242","691","20250","327879"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.1533682360313833","36","0.398264","satisfy","114992","0","1","9738","81","2934","72","10085","368","3561","complete","9162","1428","results_rect_merge","0.094414","0","0","0","0.241869","2964","6264","4544"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.4007625402882695","42","0.604054","satisfy","98752","0","1","16380","103","4956","84","16839","488","5905","complete","15498","1180","results_rect_merge","0.160836","0","0","0","0.227181","4974","10584","6427"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","819.1178003638051","44","0.657762","satisfy","119742513","3383273","1","18964","109","5764","88","19460","526","6803","complete","17996","3379066","results_rect_merge","0.174855","0","0","0","817.871424","21","12276","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","4.025162990670651","38","0.409243","satisfy","1048242","22921","1","11609","87","3515","76","11989","403","4216","complete","10963","22836","results_rect_merge","0.110931","0","0","0","3.199851","21","7486","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8964748750440776","32","0.351475","satisfy","92824","1252","1","8032","73","2400","64","8350","337","2959","complete","7520","1567","results_rect_merge","0.082334","0","0","92","0.167492","2381","5152","2966"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.3169339960440993","40","0.571475","satisfy","135736","0","1","14620","97","4420","80","15053","460","5283","complete","13820","1363","results_rect_merge","0.138136","0","0","0","0.261604","4475","9440","6055"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7660409626550972","32","0.325991","satisfy","54141","0","1","7040","69","2112","64","7334","311","2603","complete","6592","743","results_rect_merge","0.072636","0","0","0","0.09003","2128","4512","3084"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.819501815829426","32","0.325202","satisfy","78314","1015","1","7040","69","2112","64","7334","311","2603","complete","6592","1337","results_rect_merge","0.071672","0","0","79","0.13926","2173","4512","2685"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.2679283008910716","36","0.390114","satisfy","209967","2614","1","9738","81","2934","72","10085","368","3561","complete","9162","4080","results_rect_merge","0.092946","0","0","33","0.515291","80","6264","1720"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","1.1374650779180229","36","0.421896","satisfy","127883","0","1","11016","85","3312","72","11390","397","4015","complete","10368","1377","results_rect_merge","0.109879","0","0","0","0.270131","3333","7092","4885"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.4914339841343462","40","0.560104","satisfy","156973","2450","1","14620","97","4420","80","15053","460","5283","complete","13820","2817","results_rect_merge","0.141582","0","0","1","0.446383","67","9440","538"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5186317590997","50","0.925283","satisfy","148039791","4123340","0","26425","127","8075","100","27015","626","9408","complete","25175","4118242","results_rect_merge","0.248851","0","0","0","1198.82302","15","17150","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","25.564903368242085","40","0.564525","satisfy","6447309","144986","1","14620","97","4420","80","15053","460","5283","complete","13820","144706","results_rect_merge","0.142963","0","0","0","24.427791","21","9440","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","25.9563067429699","42","0.614474","satisfy","6485028","144545","1","15330","99","4662","84","15769","466","5523","complete","14532","144257","results_rect_merge","0.147518","0","0","0","24.780416","22","9912","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.429014470894","46","0.729969","satisfy","166187727","4672552","0","21022","115","6394","92","21545","555","7527","complete","19964","4668934","results_rect_merge","0.197331","0","0","0","1199.06927","19","13616","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","53.39468557573855","58","1.27752","satisfy","11994056","130243","1","38019","147","11745","116","38729","752","13406","complete","36453","206565","results_rect_merge","0.376012","0","0","3531","50.99052","1811","24766","115460"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.1234420440159738","34","0.371901","satisfy","114185","0","1","9214","79","2754","68","9555","362","3383","complete","8636","1428","results_rect_merge","0.092324","0","0","0","0.232419","2784","5916","4364"
