"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","745.8593268096447","","0.091268","966353428","0","","","144","","192","","192","","","","96","","","","results_all","1","","0","","","","0","283","","123","532","","","","745.538","","","satisfy","10452600",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","10.80994039773941","","0.093262","19009572","0","233","321","108","","144","1","144","","0","","72","","550308","","results_all","1","","","","","","","211","","87","","","47","","10.5846","","","satisfy","275139","0.001863"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.2394243311137","","0.089056","","0","","","156","","208","","208","","","","104","","","","results_all","0","","","","","","","307","","135","","","","","","","","satisfy","",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","1.7570138946175575","","0.763869","422674","0","","1407","5995","","18920","","1012","18964","0","","44","0","","complete","results_all","1","","","12276","","8879","","20383","","6803","","","6931","0","0.334032","","109","satisfy","1557","0.198347"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","10.851975375786424","","0.979017","10270100","0","","1777","8375","","26375","","1300","26425","745","","50","0","","complete","results_all","1","","","17150","","22205","","28214","","9408","","","469","33920","9.040974","","127","satisfy","49162","0.272829"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","2.26707810908556","","0.983585","477305","0","","1777","8375","","26375","","1300","26425","0","","50","0","","complete","results_all","1","","","17150","","12448","","28214","","9408","","","9596","0","0.401531","","127","satisfy","1393","0.27754"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","2.7015644684433937","","1.11645","1135254","0","","2029","9936","","31185","","1512","31131","0","","54","0","","complete","results_all","1","","","20250","","19977","","33172","","11022","","","11236","0","0.540642","","135","satisfy","1992","0.338022"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","71.08909140527248","","0.651557","62201120","0","","1286","5166","","16338","","924","16380","0","","42","0","","complete","results_all","1","","","10584","","122","","17678","","5905","","","142","398293","69.890788","","103","satisfy","397538","0.165415"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.2467968892306","6819905","0.131398","3419164614","0","25214","2737","500","0.05","1450","","100","","0","324835","50","","7144750","","results_all","0","413841222","","1300","0.0","","","1496","0.0","133","25053","159","17","","1199.865","","","satisfy","6819905","0.039"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.6947746723890305","22672","0.11733","9076049","0","9762","1459","297","0.02","792","","72","","0","795","36","","23492","","results_all","1","896823280","","684","0.0","","","822","0.0","87","9654","106","24","","1.335","","","satisfy","22672","0.02"
