"configuration","problem","model","data_file","status","time","extractedViews","blockType","eliminatedImplications","failures","evaluatedReifiedConstraints","flatIntVars","flatBoolVars","intVariables","flatBoolConstraints","propagations","method","peakDepth","oracleDecisions","run","userDecisions","nSolutions","restarts","unifiedVariables","initTime","propagators","evaluatedHalfReifiedConstraints","paths","flatTime","flatIntConstraints","solveTime"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","2.1903683422133327","9214","complete","34","12289","5916","3383","8636","79","2754","598234","satisfy","114","5931","results_rect_basic","8822","1","457","0","0.088505","362","68","0","0.347811","9555","1.489319"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7249265308492","39904","complete","58","3892055","25984","14077","38222","151","12296","182575941","satisfy","18","0","results_rect_basic","3895157","0","0","0","0.395914","779","116","0","1.35309","40639","1198.247313"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","4.9817434079013765","25025","complete","50","13758","16250","8904","23875","123","7675","1067094","satisfy","784","9739","results_rect_basic","10640","1","441","0","0.233785","602","100","0","0.818821","25593","3.406719"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","145.23531002784148","32724","complete","54","491960","21276","11593","31266","139","10044","31896836","satisfy","1908","284074","results_rect_basic","386837","1","12795","0","0.316568","701","108","0","1.10031","33385","143.139847"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.954626695252955","14620","complete","40","3004","9440","5283","13820","97","4420","165582","satisfy","65","725","results_rect_basic","2450","1","1","0","0.135196","460","80","0","0.623516","15053","0.470727"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4877762258984149","12502","complete","38","3800","8056","4543","11780","91","3762","214707","satisfy","60","1429","results_rect_basic","2723","1","39","0","0.12439","424","76","0","0.491794","12901","0.571111"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5096815060824","26425","complete","50","4201746","17150","9408","25175","127","8075","150865961","satisfy","16","0","results_rect_basic","4206923","0","0","0","0.261433","626","100","0","0.933517","27015","1198.802905"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","15.107883430086076","31131","complete","54","46744","20250","11022","29781","135","9585","4091210","satisfy","2530","26826","results_rect_basic","36847","1","1407","0","0.306524","676","108","0","1.11836","31769","13.086608"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.0305056991055608","9738","complete","36","1278","6264","3561","9162","81","2934","84421","satisfy","2958","4394","results_rect_basic","0","1","0","0","0.091051","368","72","0","0.362515","10085","0.207554"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.5088868900202215","16380","complete","42","1213","10584","5905","15498","103","4956","122461","satisfy","5001","6464","results_rect_basic","0","1","0","0","0.163689","488","84","0","0.617262","16839","0.291322"
